"DOTA_Tooltip_ability_item_fazhang_1"							"魔力法杖"
"DOTA_Tooltip_ability_item_gong_4_Description"					"<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n古龙之颅制成的可怕弓箭"
"DOTA_Tooltip_ability_item_gong_4_Lore"							"能使每次发射的箭矢都附上龙息的加持。"
"DOTA_Tooltip_ability_item_gong_4_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_4_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_4_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_4_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_5"								"代达罗斯风暴弓"
"DOTA_Tooltip_ability_item_gong_5_Description"					"<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n代达罗斯所制造的弓"
"DOTA_Tooltip_ability_item_gong_5_Lore"							"如果不能抵御加持弓箭的风暴之力，你就会成为下一个祭品"
"DOTA_Tooltip_ability_item_gong_5_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_5_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_5_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_5_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_6"								"万象"
"DOTA_Tooltip_ability_item_gong_6_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_gong_6_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_6_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_6_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_6_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_6_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_gong_6_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_gong_6_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_gong_6_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_gong_6_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_gong_7"								"万象★"
"DOTA_Tooltip_ability_item_gong_7_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_gong_7_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_7_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_7_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_7_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_7_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_gong_7_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_gong_7_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_gong_7_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_gong_7_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_gong_8"								"万象★★"
"DOTA_Tooltip_ability_item_gong_8_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_gong_8_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_8_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_8_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_8_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_8_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_gong_8_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_gong_8_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_gong_8_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_gong_8_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_gong_9"								"万象★★★"
"DOTA_Tooltip_ability_item_gong_9_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_gong_9_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_9_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_9_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_9_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_9_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_gong_9_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_gong_9_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_gong_9_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_gong_9_auto_movespeed"				"+$auto_movespeed"

"DOTA_Tooltip_ability_item_jian_1"								"阔剑"
"DOTA_Tooltip_ability_item_jian_1_Description"					"<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一把再普通不过的剑"
"DOTA_Tooltip_ability_item_jian_1_Lore"							"普通士兵都会配备一把。"
"DOTA_Tooltip_ability_item_jian_1_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_1_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_1_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_1_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_2"								"大剑"
"DOTA_Tooltip_ability_item_jian_2_Description"					"<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一把巨大的剑"
"DOTA_Tooltip_ability_item_jian_2_Lore"							"只有老练的剑士才能熟练的挥动它。"
"DOTA_Tooltip_ability_item_jian_2_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_2_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_2_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_2_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_3"								"夜叉"
"DOTA_Tooltip_ability_item_jian_3_Description"					"<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n<font color=\"#5bc0de\">主手武器只能装备一件</font>\n轻巧至极的武器"
"DOTA_Tooltip_ability_item_jian_3_Lore"							"一般人使用起来却毫无杀伤力。"
"DOTA_Tooltip_ability_item_jian_3_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_3_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_3_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_3_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_4"								"散华"
"DOTA_Tooltip_ability_item_jian_4_Description"					"<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一把异常精准的武器"
"DOTA_Tooltip_ability_item_jian_4_Lore"							"这把武器似乎能自动瞄准对方的弱点进行攻击。"
"DOTA_Tooltip_ability_item_jian_4_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_4_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_4_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_4_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_5"								"阿瑞斯之剑"
"DOTA_Tooltip_ability_item_jian_5_Description"					"<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n<font color=\"#5bc0de\">主手武器只能装备一件</font>\n战神阿瑞斯的配剑"
"DOTA_Tooltip_ability_item_jian_5_Lore"							"实力不够的人只能被其杀戮之气所控制。"
"DOTA_Tooltip_ability_item_jian_5_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_5_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_5_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_5_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_6"								"圣剑"
"DOTA_Tooltip_ability_item_jian_6_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_jian_6_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_6_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_6_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_6_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_6_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jian_6_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_jian_6_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jian_6_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_jian_6_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_jian_7"								"圣剑★"
"DOTA_Tooltip_ability_item_jian_7_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_jian_7_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_7_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_7_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_7_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_7_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jian_7_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_jian_7_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jian_7_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_jian_7_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_jian_8"								"圣剑★★"
"DOTA_Tooltip_ability_item_jian_8_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_jian_8_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_8_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_8_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_8_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_8_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jian_8_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_jian_8_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jian_8_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_jian_8_auto_movespeed"				"+$auto_movespeed"
"DOTA_Tooltip_ability_item_jian_9"								"圣剑★★★"
"DOTA_Tooltip_ability_item_jian_9_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n<h1>被动：猛击</h1>攻击时有%critical_chance%%%几率造成%critical_damage%%%的暴击且无视护甲\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_jian_9_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_jian_9_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_jian_9_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_jian_9_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_jian_9_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jian_9_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_jian_9_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jian_9_auto_magical_resistance"		"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_jian_9_auto_movespeed"				"+$auto_movespeed"

"DOTA_Tooltip_ability_item_jia_1"								"锁子甲"
"DOTA_Tooltip_ability_item_jia_1_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n最基础的防御装备，能抵挡一点点的伤害"
"DOTA_Tooltip_ability_item_jia_1_Lore"							"尽管质量一般，但是有穿总比什么都没有的好。"
"DOTA_Tooltip_ability_item_jia_1_Note0"							"只能格挡物理伤害"
"DOTA_Tooltip_ability_item_jia_1_Note1"							"护甲只能装备一件"
"DOTA_Tooltip_ability_item_jia_1_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jia_1_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jia_2"								"刃甲"
"DOTA_Tooltip_ability_item_jia_2_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n在锁子甲上加了一些利器来伤害敌人"
"DOTA_Tooltip_ability_item_jia_2_Lore"							"进攻就是最好的防守"
"DOTA_Tooltip_ability_item_jia_2_Note0"							"只能格挡物理伤害"
"DOTA_Tooltip_ability_item_jia_2_Note1"							"护甲只能装备一件"
"DOTA_Tooltip_ability_item_jia_2_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jia_2_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jia_3"								"板甲"
"DOTA_Tooltip_ability_item_jia_3_Description"					"<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n这沉重的铠甲能防御大部分的伤害"
"DOTA_Tooltip_ability_item_jia_3_Lore"							"虽然防御能力不错但是也非常重。"
"DOTA_Tooltip_ability_item_jia_3_Note0"							"只能格挡物理伤害"
"DOTA_Tooltip_ability_item_jia_3_Note1"							"护甲只能装备一件"
"DOTA_Tooltip_ability_item_jia_3_auto_physical_armor"			"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_jia_3_auto_health"					"+$auto_health"
"DOTA_Tooltip_ability_item_jia_4"								"强袭装甲"
