"DOTA_Tooltip_Ability_item_bag_of_coin"	"金袋"
"DOTA_Tooltip_ability_item_treant_4_Description"		"<h1>主动：树甲</h1>提升4%%每秒的生命回复并减少40%%的伤害\n看似无用的树枝与树种结合后竟然形成坚固的树甲。"
"DOTA_Tooltip_ability_item_treant_4_Lore"				"绿色保护着你"
"DOTA_Tooltip_modifier_item_treant_1"					"树甲"
"DOTA_Tooltip_modifier_item_treant_1_Description"		"绿色保护着你"
"DOTA_Tooltip_modifier_item_treant_1"					"树甲"
"DOTA_Tooltip_modifier_item_treant_1_Description"		"绿色保护着你"
"DOTA_Tooltip_modifier_item_treant_4_buff"				"树甲"
"DOTA_Tooltip_modifier_item_treant_4_buff_Description"	"绿色保护着你"
// 维萨吉
"DOTA_Tooltip_Ability_item_visage_1"					"倒转阴阳"
"DOTA_Tooltip_Ability_item_visage_1_Description"		"<h1>主动：倒转阴阳</h1>刷新你的所有技能\n雅典娜曾经去过东方，三清赐予她的神器事物"
"DOTA_Tooltip_Ability_item_visage_1_Lore"				"我可以放两个大了"
"DOTA_Tooltip_Ability_item_visage_1_bonus_health_regen_pct"	"%生命回复："
"DOTA_Tooltip_Ability_item_visage_1_bonus_mana_regen_pct"	"%魔法回复："
"DOTA_Tooltip_ability_item_visage_2"					"异域魔眼"
"DOTA_Tooltip_ability_item_visage_2_Description"		"<h1>主动：魔眼凝视</h1>发出一波弱化冲击，使%radius%范围敌方单位减少%reduce_resistance%%%魔法抗性。并使受到的伤害增加\n<h1>被动：透视</h1>魔法伤害将无视目标%ignore_resistance%%%的魔法抗性。"
"DOTA_Tooltip_ability_item_visage_2_bonus_magic_damage"	"%+额外魔法伤害"
"DOTA_Tooltip_ability_item_visage_3"					"陵卫斗篷"
"DOTA_Tooltip_ability_item_visage_3_Description"		"<h1>被动：魔法护盾</h1>每%interval%秒生成一个相当于最大生命值%shield_percent%%%的魔法护盾用来吸收魔法伤害。\n陵墓守卫者的斗篷，能抵消使用者受到的一部分魔法伤害。"
"DOTA_Tooltip_ability_item_visage_3_bonus_resistance"	"%+魔法抗性"
"DOTA_Tooltip_ability_item_visage_3_bonus_health_pct"	"%+生命值"
"DOTA_Tooltip_ability_item_visage_4"					"死神披风"
"DOTA_Tooltip_ability_item_visage_4_Description"		"<h1>主动：倒转阴阳</h1>刷新你的所有技能，并在%duration%秒内提升%damage_increase%%%伤害输出。\n<h1>被动：透视</h1>魔法伤害将无视目标%ignore_resistance%%%的魔法抗性。\n<h1>被动：魔法护盾</h1>每%interval%秒生成一个相当于最大生命值%shield_percent%%%的魔法护盾用来吸收魔法伤害。"
"DOTA_Tooltip_ability_item_visage_4_bonus_resistance"	"%+魔法抗性"
"DOTA_Tooltip_ability_item_visage_4_bonus_health_pct"	"%+生命值"
"DOTA_Tooltip_Ability_item_visage_4_bonus_health_regen_pct"	"%生命回复："
"DOTA_Tooltip_Ability_item_visage_4_bonus_mana_regen_pct"	"%魔法回复："
// 火焰恶魔
"DOTA_Tooltip_ability_fire_glove"	"恶魔之拳"
"DOTA_Tooltip_ability_fire_glove_Description"	"陵墓守卫者的斗篷，能抵挡大量的魔法伤害。<br></br><br></br><font color=\"#5bc0de\">被动：魔法护盾 - 每5秒生成一个相当于最大生命值20%%的魔法护盾用来吸收魔法伤害。</font>"
"DOTA_Tooltip_ability_fire_head"	"巴风特之颅"
"DOTA_Tooltip_ability_fire_head_Description"	"陵墓守卫者的斗篷，能抵挡大量的魔法伤害。<br></br><br></br><font color=\"#5bc0de\">被动：魔法护盾 - 每5秒生成一个相当于最大生命值20%%的魔法护盾用来吸收魔法伤害。</font>"
"DOTA_Tooltip_ability_item_demon_heart"	"恶魔的心脏"
"DOTA_Tooltip_ability_item_demon_heart_Description"	"恶魔的心脏，拥有强大的生命力"
"DOTA_Tooltip_ability_item_demon_heart_auto_health"					"+$auto_health"
// 克洛托
"DOTA_Tooltip_Ability_item_blood_fruit"	"克洛托的精血"
"DOTA_Tooltip_Ability_item_blood_fruit_Description"	"<h1>主动：神之血</h1>喝下它能提升使用者的体质，全属性成长提升一点，并提升一定的主属性，提升量与与克洛托的等级有关。\n一滴蕴含强大神力的血"
"DOTA_Tooltip_Ability_item_blood_fruit_Lore"	"女神的妹汁"
"DOTA_Tooltip_ability_item_exp_fruit"	"神奇芒果"
"DOTA_Tooltip_ability_item_exp_fruit_Description"	"<h1>主动：神奇芒果</h1>吃下它能提升10%% * 克洛托的等级的经验获得率，并提升一定的主属性，提升量与克洛托的等级有关。\n一颗神奇的芒果"
"DOTA_Tooltip_ability_item_gold_fruit"	"命运奶酪"
"DOTA_Tooltip_ability_item_gold_fruit_Description"	"<h1>主动：命运奶酪</h1>吃下它能提升10%% * 克洛托的等级的金钱获得率，并提升一定的主属性，提升量与克洛托的等级有关。\n一块神奇的奶酪"

"DOTA_Tooltip_ability_item_water_gun"	"水枪"
"DOTA_Tooltip_ability_item_water_gun_Description"	"一把水枪，将它朝着目标的脸上发射吧。被射中的单位减少750点移动速度，但是会获得5%每秒的生命回复，持续5秒。由于质量低劣，每次用完就要加水。"
"DOTA_Tooltip_ability_item_water_gun_Lore"	"大概是水人小时候的玩具"

"DOTA_Tooltip_ability_item_poison_water_gun"	"中毒的水枪"
"DOTA_Tooltip_ability_item_poison_water_gun_Description"	"一把掺毒的水枪，将它朝着目标的脸上发射吧。被射中的单位增加750点移动速度，但是会减少5%每秒的生命回复，持续5秒。由于质量低劣，每次用完就要加水。"
"DOTA_Tooltip_ability_item_poison_water_gun_Lore"	"大概是水人小时候的玩具"

// 宠物
"DOTA_Tooltip_Ability_item_fire_egg"	"小火蛋"
"DOTA_Tooltip_Ability_item_fire_egg_Description"	"<h1>主动：强身健体</h1>吃下这颗小火蛋，强身健体提升主属性。"
"DOTA_Tooltip_Ability_item_fire_egg_Lore"	"每天一颗蛋"
"DOTA_Tooltip_Ability_item_ice_egg"	"小冰蛋"
"DOTA_Tooltip_Ability_item_ice_egg_Description"	"<h1>主动：强身健体</h1>吃下这颗小火蛋，强身健体提升全属性成长。"
"DOTA_Tooltip_Ability_item_ice_egg_Lore"	"每天一颗蛋"
"DOTA_Tooltip_Ability_item_gold_egg"	"小金蛋"
"DOTA_Tooltip_Ability_item_gold_egg_Description"	"<h1>主动：强身健体</h1>吃下这颗小金蛋，强身健体提升全属性成长。"
"DOTA_Tooltip_Ability_item_gold_egg_Lore"	"每天一颗蛋"
// 补天石
"DOTA_Tooltip_ability_item_butianshi"	"补天石"
"DOTA_Tooltip_ability_item_butianshi_Description"	"一颗珍贵的石头，能将一些看起来毫不相关的东西糅合在一起并产生奇妙的共鸣，所以价格非常昂贵。\n\n<font color=\"#337ab7\">击杀转生Boss掉落</font>"
"DOTA_Tooltip_ability_item_butianshi_Lore"	"据说是东方的女娲补天时的余料"
// 宝石
"DOTA_Tooltip_ability_item_baoshi_1"	"金属原石"
"DOTA_Tooltip_ability_item_baoshi_1_Description"	"一颗珍贵的石头，能将一些看起来毫不相关的东西糅合在一起并产生奇妙的共鸣，所以价格非常昂贵。<br></br><br></br><font color=\"#337ab7\">击杀食人魔掉落</font>"
"DOTA_Tooltip_ability_item_baoshi_1_Lore"	"据说是东方的女娲补天时的余料"
"DOTA_Tooltip_ability_item_baoshi_2"	"大地原石"
"DOTA_Tooltip_ability_item_baoshi_2_Description"	"一颗珍贵的石头，能将一些看起来毫不相关的东西糅合在一起并产生奇妙的共鸣，所以价格非常昂贵。<br></br><br></br><font color=\"#337ab7\">击杀树精掉落</font>"
"DOTA_Tooltip_ability_item_baoshi_2_Lore"	"据说是东方的女娲补天时的余料"
"DOTA_Tooltip_ability_item_baoshi_3"	"海洋原石"
"DOTA_Tooltip_ability_item_baoshi_3_Description"	"一颗珍贵的石头，能将一些看起来毫不相关的东西糅合在一起并产生奇妙的共鸣，所以价格非常昂贵。<br></br><br></br><font color=\"#337ab7\">击杀死灵龙掉落</font>"
"DOTA_Tooltip_ability_item_baoshi_3_Lore"	"据说是东方的女娲补天时的余料"
"DOTA_Tooltip_ability_item_baoshi_4"	"火山原石"
"DOTA_Tooltip_ability_item_baoshi_4_Description"	"一颗珍贵的石头，能将一些看起来毫不相关的东西糅合在一起并产生奇妙的共鸣，所以价格非常昂贵。<br></br><br></br><font color=\"#337ab7\">击杀沙王掉落</font>"
"DOTA_Tooltip_ability_item_baoshi_4_Lore"	"据说是东方的女娲补天时的余料"
"DOTA_Tooltip_ability_item_baoshi_5"	"地狱原石"
"DOTA_Tooltip_ability_item_baoshi_5_Description"	"一颗珍贵的石头，能将一些看起来毫不相关的东西糅合在一起并产生奇妙的共鸣，所以价格非常昂贵。<br></br><br></br><font color=\"#337ab7\">击杀火焰恶魔获得</font>"
"DOTA_Tooltip_ability_item_baoshi_5_Lore"	"据说是东方的女娲补天时的余料"

// 狂战陨戒
"DOTA_Tooltip_Ability_item_battlefury_ring"	"狂战陨戒"
"DOTA_Tooltip_Ability_item_battlefury_ring_Description"	"<h1>主动：核聚变</h1>一次性吸收周围单位%absorb_pct%%%的最大生命值，并将吸收的生命值转化为伤害，并额外附加全属性 * %skill_damage% * 难度系数的伤害。但自身会受到%suicide%%%的最大生命值的伤害。使用后%abilityduration%秒内，所有伤害将提升%skill_damage_increase%%%。\n<h1>被动：陨星之核</h1>每%aura_interval%秒吸收周围%aura_radius%范围所有单位%aura_damage%%%的最大生命值和攻击力，并提升1点全属性，攻击力只持续10秒，每当生命值减少10%%，吸收间隔降低0.2秒。\n<h1>被动：遇强则强</h1>每经过一波进攻，核聚变的伤害提升1%%。\n只有最强的战士能驾驭这枚戒指，而大多数人都将沉迷于其强大的力量而自我毁灭。"
"DOTA_Tooltip_Ability_item_battlefury_ring_Lore"	"赤雨传奇工匠郎布宁的为神打造的兵器"
"DOTA_Tooltip_ability_item_battlefury_ring_bonus_damage"	"%+所有伤害"
"DOTA_Tooltip_ability_item_battlefury_ring_bonus_all_stats"	"+全属性"
"DOTA_Tooltip_ability_item_battlefury_ring_Note0"	"消耗生命效果无视无敌状态"
"DOTA_Tooltip_ability_item_battlefury_ring_Note1"	"生命值不足时会造成死亡"
"DOTA_Tooltip_ability_item_battlefury_ring_Note2"	"该伤害不享受任何伤害加成与伤害减免"
