//突袭
"DOTA_Tooltip_ability_solar_lifesteal"	"吸血鬼"
"DOTA_Tooltip_ability_solar_fire_attackspeed"	"攻速降低："
"DOTA_Tooltip_ability_solar_fire_movespeed"	"移速降低："

"DOTA_Tooltip_ability_alien_parasitism"	"寄生"
"DOTA_Tooltip_ability_alien_parasitism_Description"	"进入目标范围后，能寄生在目标体内吸取养分并造成等量伤害，以每秒3%的速度治疗自身，治疗完成后会逐渐成长，30秒后将成长为完全体。直到成长为完全体或目标死亡后会破体而出成为强大的怪物，破体而出时对目标造成当前生命一定百分比的伤害。"
"DOTA_Tooltip_ability_alien_parasitism_block"	"%伤害格挡："
"DOTA_Tooltip_ability_alien_parasitism_duration"	"Duration: "
"DOTA_Tooltip_ability_alien_parasitism_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_alien_line"	"外星射线"
"DOTA_Tooltip_ability_alien_line_Description"	"受到超过一定百分比最大生命伤害时泄漏的致命射线会对命中的目标造成伤害。"
"DOTA_Tooltip_ability_alien_line_block"	"%伤害格挡："
"DOTA_Tooltip_ability_alien_line_duration"	"Duration: "
"DOTA_Tooltip_ability_alien_line_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_alien_split"	"无尽分裂"
"DOTA_Tooltip_ability_alien_split_Description"	"死亡后会分裂出许多小谜团。"
"DOTA_Tooltip_ability_alien_split_block"	"%伤害格挡："
"DOTA_Tooltip_ability_alien_split_duration"	"Duration: "
"DOTA_Tooltip_ability_alien_split_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_alien_growth"	"成长"
"DOTA_Tooltip_ability_alien_growth_Description"	"小谜团经过一段时间后会成长为大谜团。"
"DOTA_Tooltip_ability_alien_growth_block"	"%伤害格挡："
"DOTA_Tooltip_ability_alien_growth_duration"	"成长时间："
"DOTA_Tooltip_ability_alien_growth_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_alien_blackhole"	"黑洞"
"DOTA_Tooltip_ability_alien_blackhole_Description"	"死亡时会生成一个800范围的毁灭黑洞，黑洞会将周围的单位吸引到中心位置。黑洞会在5秒内逐渐缩小范围。越接近中心位置伤害越高。"
"DOTA_Tooltip_ability_alien_obsidian_star"	"黑耀星"
"DOTA_Tooltip_ability_alien_obsidian_star_Description"	"召唤一个黑耀星对目标点周围单位并造成伤害，结束时造成一次十倍伤害"
"DOTA_Tooltip_ability_alien_line_damage"	"%伤害："
"DOTA_Tooltip_ability_alien_parasitism_attack"	"捕食"
"DOTA_Tooltip_ability_alien_parasitism_attack_Description"	"攻击目标的同时造成额外的纯粹伤害，每个等级提升10%%的伤害。如果击杀目标则会释放出许多小外星蠕虫。"
"DOTA_Tooltip_ability_alien_parasitism_attack_damage"	"%伤害百分比："
"DOTA_Tooltip_ability_solar_fire_interval"	"成长间隔："
"DOTA_Tooltip_ability_solar_fire_damage"	"Base Damage: "

"DOTA_Tooltip_ability_troll_block"	"盾挡"
"DOTA_Tooltip_ability_troll_block_Description"	"受到伤害时以30%几率触发格挡，击退周围的单位并在短时间秒内减少大量的伤害，冷却2秒。"
"DOTA_Tooltip_ability_troll_knockback"	"重击"
"DOTA_Tooltip_ability_troll_knockback_Description"	"攻击时有一定几率击晕目标0.2秒，造成伤害并在持续时间内减少目标80%%的伤害输出"
"DOTA_Tooltip_modifier_troll_block_buff"	"格挡"
"DOTA_Tooltip_ability_troll_concentrate"	"专注"
"DOTA_Tooltip_ability_troll_concentrate_Description"	"每次攻击后增加一定的攻速与攻击，持续5秒"
"DOTA_Tooltip_ability_troll_blink"	"闪烁"
"DOTA_Tooltip_ability_troll_blink_Description"	"闪避伤害后传送到一个随机位置并清除所有debuff"
"DOTA_Tooltip_ability_troll_fireball"	"火球"
"DOTA_Tooltip_ability_troll_fireball_Description"	"向前方发射一颗火球"
"DOTA_Tooltip_ability_troll_heal"	"治疗"
"DOTA_Tooltip_ability_troll_heal_Description"	"每%interval%秒回复%radius%范围单位的生命"
"DOTA_Tooltip_ability_troll_block_block"	"%伤害格挡："
"DOTA_Tooltip_ability_troll_block_duration"	"Duration: "
"DOTA_Tooltip_ability_troll_block_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_troll_knockback_stun"	"%晕眩几率："
"DOTA_Tooltip_ability_troll_knockback_duration"	"Duration: "
"DOTA_Tooltip_ability_troll_concentrate_attackspeed"	"攻速提升："
