"DOTA_Tooltip_modifier_wing"	"恶魔之翼"
"DOTA_Tooltip_ability_shield_block_Description"	"受到伤害时有一定几率清除身上负面效果并举起盾牌防御，持续%duration%秒。持续时间内收到伤害将反弹该次伤害并对目标造成%stun_duration%秒晕眩。反弹后攻速将提升%attackspeed_duration%%%"
"DOTA_Tooltip_ability_trial"	"试炼"
"DOTA_Tooltip_ability_trial_Description"	"该单位生命，攻击，护甲为试炼者的500%%，试练者每级将提升10%%。且该单位只受到试练者的伤害，试炼者无法在结界范围外造成伤害。"
"DOTA_Tooltip_ability_courier_suicide"	"草泥马的自杀"
"DOTA_Tooltip_ability_courier_suicide_Description"	"意外卡住时用来自杀"
"DOTA_Tooltip_ability_elite"	"精英"
"DOTA_Tooltip_ability_item_stat_modifier"	"属性修正"
"DOTA_Tooltip_ability_item_bet_1"	"赌博"
"DOTA_Tooltip_ability_water_shield_attackspeed"	"攻速减少："
"DOTA_Tooltip_ability_water_shield_radius"	"Radius: "
"DOTA_Tooltip_ability_bash"	"残废"
"DOTA_Tooltip_ability_bash_Description"	"攻击有%chance%%%的几率对目标造成%damage%%%伤害与残废效果，残废状态下攻速与移速各减少50%%，持续%duration%秒。"
"DOTA_Tooltip_ability_mana_break"	"法力损毁"
"DOTA_Tooltip_ability_mana_break_Description"	"攻击有%chance%%%的几率损毁目标%mana%%%的魔法值并造成等量伤害，根据目标当前魔法百分比造成额外伤害，目标每损失1%%的魔法值，额外造成2%%的伤害。"
"DOTA_Tooltip_ability_item_exclusive_trial"	"试炼"
"DOTA_Tooltip_ability_item_exclusive_trial_Description"	"开启试炼，通过试炼将获得专属装备。"
"DOTA_Tooltip_ability_elite_Description"	"精英怪拥有额外的攻击、生命、护甲与攻速，额外的属性跟难度与波数成正比。"

"DOTA_Tooltip_ability_athena_heal_radius"	"Radius: "
"DOTA_Tooltip_modifier_athena_guard_buff"	"埃癸斯的守护"
"DOTA_Tooltip_modifier_athena_guard_buff_Description"	"该单位受到较少的伤害"

"DOTA_Tooltip_ability_boss"	"Boss"
"DOTA_Tooltip_ability_boss_Description"	"单次伤害不会超过最大生命值的%damage_limit%%%，且每受到%damage_limit%%%的伤害就会获得一次减伤效果，减伤效果随时间递减。"
"DOTA_Tooltip_ability_boss_damage_reduce"	"%伤害减少："


"DOTA_Tooltip_ability_demon_chains_1"	"烈焰之拳"
"DOTA_Tooltip_ability_demon_chains_1_Description"	"攻击时对目标周围的单位造成额外伤害。攻击后有几率触发狂乱，在短时间内进行急速攻击。"
"DOTA_Tooltip_ability_demon_chains_1_bonus_damage"	"召唤者主属性伤害系数："
"DOTA_Tooltip_ability_demon_chains_1_cleave_radius"	"伤害范围："
"DOTA_Tooltip_ability_demon_chains_2"	"献祭"
"DOTA_Tooltip_ability_demon_chains_2_Description"	"燃烧周围的单位，使他们受到持续伤害。"
"DOTA_Tooltip_ability_demon_chains_2_damage"	"召唤者主属性伤害系数："
"DOTA_Tooltip_ability_demon_chains_2_radius"	"Radius: "
"DOTA_Tooltip_ability_demon_chains_3"	"魔鬼祭祀"
"DOTA_Tooltip_ability_demon_chains_3_Description"	"提升周围友方单位的战斗力"
"DOTA_Tooltip_modifier_demon_chains_3_buff"	"魔鬼祭祀"
"DOTA_Tooltip_modifier_demon_chains_3_buff_Description"	"提升战斗力"
"DOTA_Tooltip_ability_demon_chains_3_aura_hp_regen_percent"	"光环提升百分比生命回复："
"DOTA_Tooltip_ability_demon_chains_3_aura_attack_percent"	"光环提升百分比攻击力："
"DOTA_Tooltip_ability_demon_chains_3_aura_attackspeed"	"光环提升攻击速度："
"DOTA_Tooltip_ability_demon_chains_3_aura_radius"	"光环范围："

"DOTA_Tooltip_ability_demon_chains_1_attackspeed"	"狂乱攻速："
"DOTA_Tooltip_modifier_demon_chains_1_buff"	"狂乱"
"DOTA_Tooltip_modifier_demon_chains_1_buff_Description"	"短时间被提升攻速"
"DOTA_Tooltip_ability_demon_chains_1_duration"	"狂乱持续："
"DOTA_Tooltip_ability_demon_chains_1_chance"	"%狂乱触发几率："
"DOTA_Tooltip_modifier_reborn"							"转生"
"DOTA_Tooltip_modifier_reborn_Description"				"已转生%dMODIFIER_PROPERTY_TOOLTIP%次。"


"DOTA_Tooltip_ability_courier_blink"	"草泥马无处不在"
"DOTA_Tooltip_ability_courier_bag"	"草泥马背包切换"
"DOTA_Tooltip_ability_courier_bag_Description"	"切换背包"
"DOTA_Tooltip_ability_courier_auto_potion"	"草泥马自动吃药"
"DOTA_Tooltip_ability_courier_auto_potion_Description"	"自动喝药"
"DOTA_Tooltip_ability_courier_teleport"	"草泥马召唤"
"DOTA_Tooltip_ability_courier_teleport_Description"	"召唤你的英雄到任意位置"
"DOTA_Tooltip_ability_courier_swap"	"草泥马物品交换"
"DOTA_Tooltip_ability_courier_swap_Description"	"交换英雄与草泥马的第一格物品"

"DOTA_Tooltip_ability_boss_clear"	"神光"
"DOTA_Tooltip_ability_boss_clear_Description"	"每%interval%秒自动清理一次debuff并提供%duration%秒的晕眩抵抗。"
"DOTA_Tooltip_ability_boss_untouchable"	"不可侵犯"
"DOTA_Tooltip_ability_boss_blink"	"星界之门"
"DOTA_Tooltip_ability_boss_blink_Description"	"当处于无法移动的地形时，将开启一道传送门进行传送。"
