"npc_dota_hero_crystal_maiden"									"Glacier Witch"
"DOTA_Tooltip_ability_crystal_maiden_4_Description"				"Create a frost barrier around you, in which speed reaches its limit and becomes invisible. At the same time, apply the curse of cold winter to the units entering the border, take continuous damage and deepen the damage. Units that move less than %frozen_speed% in the enchantment will be frozen."
"DOTA_Tooltip_ability_crystal_maiden_4_scepter_description_2"	"Make the frost barrier effective on friendly forces"
"DOTA_Tooltip_ability_crystal_maiden_4_base_damage"				"Base Damage: "
"DOTA_Tooltip_ability_crystal_maiden_4_damage"					"Int Damage Factor: "
"DOTA_Tooltip_ability_crystal_maiden_4_radius"					"Radius: "
"DOTA_Tooltip_ability_crystal_maiden_4_duration"				"Duration: "
"DOTA_Tooltip_ability_crystal_maiden_4_curse_duration"			"Curse Duration: "
"DOTA_Tooltip_ability_crystal_maiden_4_duration_per_cold"		"Duration Per Frost Sigil Stack: "

"DOTA_Tooltip_modifier_crystal_maiden_0_buff"					"Frozen"
"DOTA_Tooltip_modifier_crystal_maiden_0_buff_Description"		"The unit is frozen"
"DOTA_Tooltip_modifier_crystal_maiden_0_debuff"					"Frost Sigil"
"DOTA_Tooltip_modifier_crystal_maiden_0_debuff_Description"		"The unit is decelerated"
"DOTA_Tooltip_modifier_crystal_maiden_0_cold"					"Cold"
"DOTA_Tooltip_modifier_crystal_maiden_0_cold_Description"		"The lower the temperature, the more powerful the Glacier Witch's skill"
"DOTA_Tooltip_modifier_crystal_maiden_0_freeze"					"Frozen"
"DOTA_Tooltip_modifier_crystal_maiden_0_freeze_Description"		"The unit is frozen"
"DOTA_Tooltip_modifier_crystal_maiden_1_debuff"					"Chilliness Burst"
"DOTA_Tooltip_modifier_crystal_maiden_1_debuff_Description"		"This unit reduces attack speed and movement speed"
"DOTA_Tooltip_modifier_crystal_maiden_2_slow"					"Snow Storm"
"DOTA_Tooltip_modifier_crystal_maiden_2_slow_Description"		"This unit reduces movement speed"
"DOTA_Tooltip_modifier_crystal_maiden_3_buff"					"Frozen Aura"
"DOTA_Tooltip_modifier_crystal_maiden_4_buff"					"Frost Boundary"
"DOTA_Tooltip_modifier_crystal_maiden_4_buff_Description"		"The unit is invisible"
"DOTA_Tooltip_modifier_crystal_maiden_4_debuff"					"Winter curse"
"DOTA_Tooltip_modifier_crystal_maiden_4_debuff_Description"		"Deepen the hurt"

"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden"				"Crescent Ornament"
"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Attack has %chance%%% chance of freezing target for %duration% second.\n<h1>Second Reincarnation</h1>Frost Boundary effect friendly units\n<h1>Third  Reincarnation</h1>There is a %refresh_chance%%% chance to refresh the skill immediately when the skill is released.\n<h1>Fourth Reincarnation</h1>When releasing skills, produce a shield that can withstand a single injury.\nThe pendant from the deep blue glacier core can even freeze a pig to death."
