"npc_dota_hero_oracle"	"神谕者"
"DOTA_Tooltip_ability_oracle_4_radius"								"Radius: "
"DOTA_Tooltip_ability_oracle_4_imprison_duration"					"Imprison Duration: "

"DOTA_Tooltip_modifier_oracle_2"									"窥视未来"
"DOTA_Tooltip_modifier_oracle_2_Description"						"该单位暂时提升了智力"

"DOTA_Tooltip_modifier_oracle_3"									"命运敕令"
"DOTA_Tooltip_modifier_oracle_3_Description"						"该单位提升了移速并免疫所有伤害"
"DOTA_Tooltip_modifier_oracle_3_root"								"命运敕令缠绕"
"DOTA_Tooltip_modifier_oracle_3_root_Description"					"该单位无法移动"

"DOTA_Tooltip_ability_item_npc_dota_hero_oracle_Description"		"<h1>Exclusive Equipment</h1>All property, health and mana increase %property%%%\n<h1>First Reincarnation: Death Prediction</h1>Can be released to friendly forces, within the duration of death will be immediately reborn. \n<h1>Second Reincarnation: Fate's Edict</h1> Units that are counterattacked are root in% duration% seconds.\n<h1>Third  Reincarnation: Future Peep</h1>Increase %bonus_intellect% intelligence.\n<h1>Fourth Reincarnation: Purifying Flames</h1>Each %interval% seconds automatically releases Purifying Flames to the surrounding units."
"DOTA_Tooltip_ability_item_npc_dota_hero_oracle_Lore"				"The astral orb crackles with power while raw energy lances out, temporarily disrupting and enemy's connection to their own body"
