"DOTA_Tooltip_ability_spectre_0"	"百鬼夜行"
"DOTA_Tooltip_ability_spectre_2_Note1"	"消耗生命效果不享受任何伤害加成与伤害减免"
"DOTA_Tooltip_ability_spectre_2_Note2"	"主动使用会使下次攻击达到浮动上限"
"DOTA_Tooltip_modifier_spectre_2_debuff"	"混乱"
"DOTA_Tooltip_modifier_spectre_2_debuff_Description"	"该单位不受控制。"

"DOTA_Tooltip_ability_spectre_3"	"千炼恶鬼"
"DOTA_Tooltip_ability_spectre_3_Description"	"幽鬼受到伤害时溢散的能量会对周围的单位造成伤害，每受到1%%最大生命值的伤害对周围的单位造成一次伤害，受到伤害越大会略微增加影响范围，最大增加到%max_radius%。生命值越低受到的伤害会相应减少。且每受到100%%最大生命值的伤害，都会提升力量，生命回复与生命值。"
"DOTA_Tooltip_ability_spectre_3_scepter_description_3"	"每次受到敌人的伤害不会超过生命上限的%scepter_damage_limit%%%"
"DOTA_Tooltip_ability_spectre_3_damage"	"力量伤害系数："
"DOTA_Tooltip_ability_spectre_3_radius"	"影响范围："
"DOTA_Tooltip_ability_spectre_3_max_reduce"	"%最大减伤："
"DOTA_Tooltip_ability_spectre_3_str"	"力量提升："
"DOTA_Tooltip_ability_spectre_3_regen"	"回复提升："
"DOTA_Tooltip_ability_spectre_3_health"	"%生命提升："
"DOTA_Tooltip_ability_spectre_3_health_str"	"生命提升力量系数："
"DOTA_Tooltip_ability_spectre_3_Note0"	"单次伤害不会低于受到0.1%生命值所造成的伤害"
"DOTA_Tooltip_ability_spectre_3_Note1"	"最大伤害百分比判定不会超过100%"
"DOTA_Tooltip_modifier_spectre_3"	"千炼恶鬼"
"DOTA_Tooltip_modifier_spectre_3_Description"	"增加%dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS% + %dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%点生命，%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%力量，%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%生命回复与%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%伤害减免。"

"DOTA_Tooltip_ability_spectre_4"	"鬼神祭典"
"DOTA_Tooltip_ability_spectre_4_Description"	"幽鬼召唤鬼神祭典封印敌人的灵魂，使目标在%stun_duration%秒内被锁定，锁定时护甲魔抗降低为零并受到额外%damage_deepen%%%的伤害。在造成伤害前封印目标%soul_loss%%%的最大生命上限与输出。封印后召唤死神对目标造成%damage_count%次伤害，在造成伤害时根据目标已损失生命额外附加最多生命上限%max_bonus_damage%%的伤害。封印生命上限效果不能叠加。在祭典范围内的单位将被沉默并受到等量伤害。"
"DOTA_Tooltip_ability_spectre_4_scepter_description_4"	"成功击杀目标将减少%scepter_cooldown%%%的冷却时间"
"DOTA_Tooltip_ability_spectre_4_damage"	"力量伤害系数："
"DOTA_Tooltip_ability_spectre_4_stun_duration"	"锁定时间："
"DOTA_Tooltip_ability_spectre_4_duration"	"封印时间："
"DOTA_Tooltip_ability_spectre_4_radius"	"祭典范围："
"DOTA_Tooltip_ability_spectre_4_Note0"	"锁定效果与封印效果无法驱散"
"DOTA_Tooltip_modifier_spectre_4_debuff_Description"	"该单位被封印，持续时间内减少最大生命上限并减少魔法输出。"
"DOTA_Tooltip_modifier_spectre_4_debuff"	"封印"
"DOTA_Tooltip_modifier_spectre_4_lock"	"锁定"
"DOTA_Tooltip_modifier_spectre_4_lock_Description"	"该单位被锁定，持续时间内减少护甲魔抗受到晕眩并且禁用技能。"
"DOTA_Tooltip_modifier_spectre_4_silence"	"沉默"
"DOTA_Tooltip_modifier_spectre_4_silence_Description"	"该单位被沉默。"

"DOTA_Tooltip_ability_item_npc_dota_hero_spectre"	"净魂之刃"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：百鬼夜行</h1>鬼影造成%scepter_illusion_damage%%%的伤害\n<h1>二转：恶鬼之触</h1>最低浮动系数提升为最高浮动系数的%scepter_min_damage_pct%%%\n<h1>三转：千炼恶鬼</h1>每次受到敌人的伤害不会超过生命上限的%scepter_damage_limit%%%\n<h1>四转：死神祭典</h1>成功击杀目标将减少%scepter_cooldown%%%的冷却时间\n一把能够净化目标的灵魂之刃"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_hp"	"+生命值"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_mp"	"+魔法值"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_hp_regen"	"+生命恢复"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_mp_regen"	"+魔法恢复"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_str"	"+力量"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_agi"	"+敏捷"
"DOTA_Tooltip_ability_item_npc_dota_hero_spectre_int"	"+智力"

"npc_dota_hero_spectre"	"墨丘利"
"spectre"	"幽鬼"
