"npc_dota_hero_templar_assassin"	"Revelator"
"DOTA_Tooltip_ability_templar_assassin_2_Note0"							"While moving, you can dodge attacks and skills in flight, ballistics and immunity to magic."
"DOTA_Tooltip_ability_templar_assassin_2_base_damage"					"Base Damage Per Level:"
"DOTA_Tooltip_ability_templar_assassin_2_damage"						"Agility Factor Per Level:"
"DOTA_Tooltip_ability_templar_assassin_2_radius"						"Radius:"
"DOTA_Tooltip_ability_templar_assassin_2_distance"						"Distance:"
"DOTA_Tooltip_ability_templar_assassin_2_movespeed"						"%Movespeed:"
"DOTA_Tooltip_ability_templar_assassin_2_duration"						"Duration:"
"DOTA_Tooltip_ability_templar_assassin_2_aghanim_description"			"Have %scepter_refresh_chance%%% chance refresh charge when cast."
"DOTA_Tooltip_modifier_templar_assassin_2_buff"							"ShenYin"
"DOTA_Tooltip_modifier_templar_assassin_2_buff_Description"				"Increase %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movespeed."
"DOTA_Tooltip_modifier_templar_assassin_2_debuff"						"ShenYin"
"DOTA_Tooltip_modifier_templar_assassin_2_debuff_Description"			"Reduce %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movespeed."

"DOTA_Tooltip_ability_templar_assassin_3"								"LinRen"
"DOTA_Tooltip_ability_templar_assassin_3_Description"					"The Apocalypse comes with an Apocalypse Blade, which pierces the target to cause additional magic damage to a small area of units and weakens the main target's magic resistance, actively using it to continuously generate aura blades around, causing damage to nearby enemies."
"DOTA_Tooltip_ability_templar_assassin_3_Lore"							"The Reiki blade can easily pierce the enemy's armor and injure the enemy's soul."
"DOTA_Tooltip_ability_templar_assassin_3_Note0"							"Units that enter the range within the duration will be affected."
"DOTA_Tooltip_ability_templar_assassin_3_base_damage"					"Base Damage Per Level:"
"DOTA_Tooltip_ability_templar_assassin_3_damage"						"Agility Factor Per Level:"
"DOTA_Tooltip_ability_templar_assassin_3_resistance"					"Reduce Resistance Per Level:"
"DOTA_Tooltip_ability_templar_assassin_3_duration"						"Debuff Duration:"
"DOTA_Tooltip_ability_templar_assassin_3_radius"						"LinRen Radius:"
"DOTA_Tooltip_ability_templar_assassin_3_damage_tick"					"Active Damage Interval:"
"DOTA_Tooltip_ability_templar_assassin_3_active_radius"					"Active Radius:"
"DOTA_Tooltip_ability_templar_assassin_3_active_duration"				"Active Duration:"
"DOTA_Tooltip_ability_templar_assassin_3_delay"							"Active Delay:"
"DOTA_Tooltip_ability_templar_assassin_3_bonus_attack_range"			"LinRen Bonus Attack Range Per Level:"
"DOTA_Tooltip_ability_templar_assassin_3_aghanim_description"			"Active Damage stun target %scepter_stun_duration% second."
"DOTA_Tooltip_modifier_templar_assassin_3_debuff"						"LinRen"
"DOTA_Tooltip_modifier_templar_assassin_3_debuff_Description"			"Reduce %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% resistance."

"DOTA_Tooltip_ability_templar_assassin_4"								"TianMu"
"DOTA_Tooltip_ability_templar_assassin_4_Description"					"Spread the canopy blade around itself, causing all surrounding units to take damage once per %damage_tick% second and reducing movement speed and turn rate。"
"DOTA_Tooltip_ability_templar_assassin_4_base_damage"					"Base Damage Per Level:"
"DOTA_Tooltip_ability_templar_assassin_4_damage"						"Agility Factor Per Level:"
"DOTA_Tooltip_ability_templar_assassin_4_damage_tick"					"Damage Interval:"
"DOTA_Tooltip_ability_templar_assassin_4_radius"						"Radius:"
"DOTA_Tooltip_ability_templar_assassin_4_mana_cost_pct"					"%Mana Cost:"
"DOTA_Tooltip_ability_templar_assassin_4_duration"						"Debuff Duration:"
"DOTA_Tooltip_ability_templar_assassin_4_aghanim_description"			"Canopy Blade reduces the turning rate to double and has a %scepter_chance% chance to force the enemy to turn."
"DOTA_Tooltip_modifier_templar_assassin_4_debuff"						"TianMu"
"DOTA_Tooltip_modifier_templar_assassin_4_debuff_Description"			"Reduce %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movespeed and %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%% turn rate."

"DOTA_Tooltip_ability_item_npc_dota_hero_templar_assassin"				"Sunplate"
"DOTA_Tooltip_ability_item_npc_dota_hero_templar_assassin_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Automatically generate a layer of shields per %interval% sec.\n<h1>Second Reincarnation</h1>Reduce ShenYin %reduce% seconds recharge time\n<h1>Third  Reincarnation</h1>Prevent damage when using LinRen\n<h1>Fourth Reincarnation</h1>TianMu damage interval reduced to %reduce_interval%\nThe weapons created by RI Yao Shi can provide users with endless energy."
