主键,名字,基类,模型,模型尺寸,登记,血条偏移,奖励经验,最小奖励金钱,最大奖励金钱,碰撞大小,移动类型,移动速度,转身速率,基础生命,基础生命回复,基础魔法,基础魔法回复,攻击能力,最小攻击力,最大攻击力,攻击间隔,攻击抬手,警戒距离,攻击距离,投射物特效,投射物速率,基础护甲,基础魔抗,攻击类型,防御类型,小地图图标,小地图图标尺寸,作为英雄生命条,作为远古,单位标签,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16
ogre,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_ogre_med/n_creep_ogre_med.vmdl,1,10,-1,3000,500,500,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,10000,10,500,5,DOTA_UNIT_CAP_MELEE_ATTACK,1200,1500,1.6,0.5,200,100,,,20,20,DOTA_COMBAT_CLASS_ATTACK_BASIC,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,,,,,,,,,,,,,,,,
boss_ogre,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_ogre_med/n_creep_ogre_med.vmdl,1.4,20,400,8000,1200,1200,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,100000,100,5000,50,DOTA_UNIT_CAP_MELEE_ATTACK,3200,4500,1.4,0.5,200,100,,,40,0,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss_jump_strike,,,,,,,,,,,,,,,
dog,,npc_dota_creature,models/heroes/life_stealer/life_stealer.vmdl,1,10,-1,2000,400,400,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,20000,200,1000,50,DOTA_UNIT_CAP_MELEE_ATTACK,1000,1000,1.6,0.5,200,100,,,10,20,DOTA_COMBAT_CLASS_ATTACK_BASIC,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,dog_wound,,,,,,,,,,,,,,,
boss_dog,,npc_dota_creature,models/heroes/life_stealer/life_stealer.vmdl,1.4,20,400,6000,600,600,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,40000,400,5000,50,DOTA_UNIT_CAP_MELEE_ATTACK,2000,2000,1.4,0.5,200,100,,,20,40,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,1,,dog_wound,boss_rage,,,,,,,,,,,,,,
dragon_1,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_black_dragon/n_creep_black_dragon.vmdl,1,20,-1,3000,300,300,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,60000,600,6000,50,DOTA_UNIT_CAP_RANGED_ATTACK,3000,3000,1.6,0.5,200,600,particles/base_attacks/ranged_badguy.vpcf,900,30,30,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,dragon_energy_ball,,,,,,,,,,,,,,,
dragon_2,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_black_dragon/n_creep_black_dragon.vmdl,1.2,20,-1,4000,400,400,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,80000,800,8000,50,DOTA_UNIT_CAP_RANGED_ATTACK,4000,4000,1.6,0.5,200,600,particles/base_attacks/ranged_badguy.vpcf,900,35,35,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,dragon_energy_ball,,,,,,,,,,,,,,,
dragon_3,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_black_dragon/n_creep_black_dragon.vmdl,1.4,10,-1,5000,500,500,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,100000,1000,1000,50,DOTA_UNIT_CAP_RANGED_ATTACK,5000,5000,1.6,0.5,200,600,particles/base_attacks/ranged_badguy.vpcf,900,40,40,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,dragon_energy_ball,,,,,,,,,,,,,,,
zombie_stand,,npc_dota_creature,models/creeps/lane_creeps/creep_bad_melee_diretide/creep_bad_melee_diretide.vmdl,1.4,10,-1,2500,800,800,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,50000,1000,1000,50,DOTA_UNIT_CAP_MELEE_ATTACK,5000,5000,1.6,0.5,200,125,,,40,40,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,dragon_energy_ball,,,,,,,,,,,,,,,
zombie_disable,,npc_dota_creature,models/creeps/lane_creeps/creep_bad_ranged_diretide/creep_bad_ranged_diretide.vmdl,1.4,10,-1,3000,800,800,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,300,0.5,50000,1000,1000,50,DOTA_UNIT_CAP_RANGED_ATTACK,5000,5000,1.6,0.5,200,600,particles/base_attacks/ranged_badguy.vpcf,900,40,40,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_creep,200,,,,dragon_energy_ball,,,,,,,,,,,,,,,
boss_sandking,,npc_dota_creature,models/heroes/sand_king/sand_king.vmdl,1.4,30,400,30000,2500,3500,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,800000,2000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,30000,30000,1.4,0.5,600,100,,,50,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss,boss_invisible,boss_burrowstrike,boss_epicenter,,,,,,,,,,,,
boss_visage,,npc_dota_creature,models/heroes/visage/visage.vmdl,1.4,30,400,40000,2500,3500,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,600000,2000,10000,100,DOTA_UNIT_CAP_RANGED_ATTACK,20000,20000,1.4,0.5,600,100,particles/base_attacks/ranged_badguy.vpcf,900,50,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss,boss_soulbody,boss_soulconnect,boss_soulclash,,,,,,,,,,,,
boss_fire_demon,,npc_dota_creature,models/items/warlock/golem/hellsworn_golem/hellsworn_golem.vmdl,1.4,30,400,50000,4000,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,1000000,500,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,50000,50000,1.4,0.5,600,100,,,60,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss,boss_fire_stun,boss_fire_land,boss_fire_reborn,,,,,,,,,,,,
boss_treant,,npc_dota_creature,models/heroes/treant_protector/treant_protector.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,280,0.5,400000,500,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,12000,12000,1.4,0.5,600,200,,,40,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss,boss_absorb,boss_green_protect,boss_overgrowth,,,,,,,,,,,,
boss_clotho,,npc_dota_creature,models/heroes/enchantress/enchantress.vmdl,1.4,1,400,10000,1000,1000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,280,0.5,100000,500,10000,100,DOTA_UNIT_CAP_RANGED_ATTACK,2000,2000,1.4,0.5,900,900,particles/units/heroes/hero_enchantress/enchantress_impetus.vpcf,900,20,5,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss,boss_untouchable,hit_back,,,,,,,,,,,,,
boss_iapetos,,npc_dota_creature,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,1.4,1,400,10000,1000,1000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,280,0.5,500000,5000,10000,100,DOTA_UNIT_CAP_RANGED_ATTACK,25000,30000,1.4,0.5,900,900,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_arcane_orb.vpcf,900,50,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_ancient,800,,1,,boss,arcane_attack,original_crash,boss_clear,,,,,,,,,,,,
boss_chaos_demon_1,,npc_dota_creature,models/heroes/warlock/warlock_demon.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,340,0.5,1000000,5000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,40000,40000,1.4,0.5,1500,250,,,100,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_candybucket,800,,1,,boss,boss_chaos_land,boss_chaos_fall,demon_sun_strike,boss_hell_fist,,,,,,,,,,,
boss_chaos_demon_2,,npc_dota_creature,models/items/warlock/golem/tevent_2_gatekeeper_golem/tevent_2_gatekeeper_golem.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,340,0.5,1000000,5000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,50000,50000,1.4,0.5,1500,250,,,200,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_candybucket,800,,1,,boss,boss_chaos_land,boss_chaos_fall,demon_sun_strike,boss_hell_fist,,,,,,,,,,,
boss_chaos_demon_3,,npc_dota_creature,models/items/warlock/golem/doom_of_ithogoaki/doom_of_ithogoaki.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,340,0.5,1000000,5000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,60000,60000,1.4,0.5,1500,250,,,200,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_candybucket,800,,1,,boss,boss_chaos_land,boss_chaos_fall,demon_sun_strike,boss_hell_fist,,,,,,,,,,,
boss_chaos_demon_4,,npc_dota_creature,models/items/warlock/golem/obsidian_golem/obsidian_golem.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,340,0.5,1000000,5000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,70000,70000,1.4,0.5,1500,250,,,200,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_candybucket,800,,1,,boss,boss_chaos_land,boss_chaos_fall,demon_sun_strike,boss_hell_fist,,,,,,,,,,,
boss_chaos_demon_5,,npc_dota_creature,models/items/warlock/golem/ahmhedoq/ahmhedoq.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,340,0.5,1000000,5000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,80000,80000,1.4,0.5,1500,250,,,200,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_candybucket,800,,1,,boss,boss_chaos_land,boss_chaos_fall,demon_sun_strike,boss_hell_fist,,,,,,,,,,,
boss_chaos_demon_6,,npc_dota_creature,models/items/warlock/golem/grimoires_pitlord_ultimate/grimoires_pitlord_ultimate.vmdl,1.4,30,400,40000,3500,4000,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,340,0.5,1000000,5000,10000,100,DOTA_UNIT_CAP_MELEE_ATTACK,80000,80000,1.2,0.5,1500,250,,,150,38,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,minimap_candybucket,800,,1,,boss,boss_chaos_land,boss_chaos_fall,demon_sun_strike,boss_hell_fist,,,,,,,,,,,
poseidon,,npc_dota_creature,models/heroes/kunkka/kunkka.vmdl,1.8,10,-1,2000,170,170,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,800000,5000,10000,0,DOTA_UNIT_CAP_MELEE_ATTACK,3000,5000,1.2,0.5,900,200,particles/base_attacks/ranged_badguy.vpcf,900,30,30,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,1,,angry_water,water_blade,water_ravage,boss_clear,boss_blink,boss,,,,,,,,,,
nec,,npc_dota_creature,models/heroes/necrolyte/necrolyte.vmdl,1.8,38,-1,2000,170,170,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,8000000,10000,3900,0,DOTA_UNIT_CAP_RANGED_ATTACK,10000,10000,1.2,0.5,900,900,particles/econ/items/necrolyte/necronub_base_attack/necrolyte_base_attack_ka.vpcf,900,100,50,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,1,,soulsteal,heartstop,death_change,death,boss_clear,boss_blink,boss,,,,,,,,,
zeus,,npc_dota_creature,models/heroes/zeus/zeus.vmdl,1.8,10,-1,2000,170,170,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,20000000,5000,100000,0,DOTA_UNIT_CAP_RANGED_ATTACK,15000,25000,1.2,0.5,900,600,particles/econ/items/zeus/lightning_weapon_fx/zuus_base_attack_immortal_lightning.vpcf,900,200,60,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,1,,lightning_attack,lightning_crash,boss_clear,boss_blink,boss,,,,,,,,,,,
zeus_reborn,,npc_dota_creature,models/heroes/zeus/zeus_arcana.vmdl,1.8,10,-1,2000,170,170,DOTA_HULL_SIZE_HERO,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,60000000,5000,100000,0,DOTA_UNIT_CAP_RANGED_ATTACK,60000,80000,1.2,0.5,900,600,particles/base_attacks/ranged_badguy.vpcf,900,200,60,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,1,,lightning_attack,lightning_crash,thunder_wrath,thunder_cloud,boss_clear,boss_blink,boss,,,,,,,,,
