"DOTA_Tooltip_Ability_elite_28_1"					"不如跳舞"
"DOTA_Tooltip_Ability_elite_28_1_Description"		"跳舞嘲讽敌人并回复大量生命值。"
"DOTA_Tooltip_Ability_elite_28_2"					"传送"
"DOTA_Tooltip_Ability_elite_28_2_Description"		"将周围的小弟传送至雅典娜周围。"
"DOTA_Tooltip_ability_anchor_smash"	"锚击"
"DOTA_Tooltip_ability_enchant_totem_Description"	"强化图腾晕眩周围400范围的单位，下次攻击造成额外伤害并击碎目标区域，在短暂延迟后对目标周围300范围的单位造成生命上限50%%的伤害与%stun_duration%秒晕眩。"
"DOTA_Tooltip_ability_enchant_totem_duration"	"状态持续时间："
"DOTA_Tooltip_ability_enchant_totem_totem_damage_percentage"	"%额外伤害："
"DOTA_Tooltip_ability_force_rush"	"强攻"
"DOTA_Tooltip_ability_force_rush_Description"	"被攻击时有15%的几率触发强攻，提升攻速并回复生命。"
"DOTA_Tooltip_ability_force_rush_attackspeed"	"攻速提升"
"DOTA_Tooltip_ability_force_rush_heal"	"治疗量"
"DOTA_Tooltip_ability_fuhuosishi"	"续命+60s"
"DOTA_Tooltip_ability_fuhuosishi_Description"	"暂时复活一个友方单位，该单位只能存活一段时间。"
"DOTA_Tooltip_ability_fuhuosishi_clone_damage"	"%燃烧生命："
"DOTA_Tooltip_ability_fuhuosishi_clone_duration"	"持续时间："
"DOTA_Tooltip_ability_fuhuosishi_clone_radius"	"施法范围："
"DOTA_Tooltip_ability_fuhuosishi_duration"	"持续时间："
"DOTA_Tooltip_ability_fuhuosishi_radius"	"施法范围："
"DOTA_Tooltip_ability_fulan"	"腐烂"
"DOTA_Tooltip_ability_fulan_Description"	"尸王腐烂后产生的尸毒对周围的单位造成大量的持续伤害。被影响的单位会降低移动速度。"
"DOTA_Tooltip_ability_fulan_damage"	"每秒伤害："
"DOTA_Tooltip_ability_fulan_heal"	"治疗百分比："
"DOTA_Tooltip_ability_fulan_radius"	"影响范围："
"DOTA_Tooltip_ability_fur_dance"	"不如跳舞"
"DOTA_Tooltip_ability_fur_dance_Description"	"跳舞嘲讽敌人。跳舞期间增加大量生命回复并且魔法免疫。"
"DOTA_Tooltip_ability_fur_dance_rate"	"反馈率"
"DOTA_Tooltip_ability_fur_dance_regen"	"%每秒回复："
"DOTA_Tooltip_ability_god_body"	"神王之躯"
"DOTA_Tooltip_ability_god_body_Description"	"神王之躯不容凡人侵犯，单次伤害不会超过最大生命一定百分比。当伤害超过时，对伤害来源触发一次雷击。并且具有高强度的生命恢复能力。反击有两秒的冷却。"
"DOTA_Tooltip_ability_god_body_damage"	"伤害："
"DOTA_Tooltip_ability_god_body_max_damage"	"%单次最高伤害："
"DOTA_Tooltip_ability_god_body_regen"	"%生命回复："
"DOTA_Tooltip_ability_gods_strength"	"神之力量"
"DOTA_Tooltip_ability_gods_strength_Description"	"大幅度提升攻击力并降低基础攻击间隔"
"DOTA_Tooltip_ability_gods_strength_attack_time"	"减少攻击间隔："
"DOTA_Tooltip_ability_gods_strength_gods_strength_damage"	"增加攻击力："
"DOTA_Tooltip_ability_golem_skin"	"岩石印记"
"DOTA_Tooltip_ability_golem_skin_Description"	"该单位魔法抗性增加"
"DOTA_Tooltip_ability_golem_skin_mdef"	"魔法抗性："
"DOTA_Tooltip_ability_golem_spilt"	"碎石"
"DOTA_Tooltip_ability_golem_spilt_Description"	"该单位死亡后会分裂出小石头人"
"DOTA_Tooltip_ability_great_cleave"	"巨力挥舞"
"DOTA_Tooltip_ability_great_cleave_Description"	"大力攻击使前方单位受到分裂伤害"
"DOTA_Tooltip_ability_great_cleave_great_cleave_damage"	"分裂伤害："
"DOTA_Tooltip_ability_great_cleave_great_cleave_radius"	"影响范围："
"DOTA_Tooltip_ability_gush"	"巨浪"
"DOTA_Tooltip_ability_gush_Description"	"召唤一股巨浪攻击一个敌方单位，减速并削弱护甲。持续4秒。"
"DOTA_Tooltip_ability_gush_armor_bonus"	"减少护甲："
"DOTA_Tooltip_ability_gush_damage"	"伤害："
"DOTA_Tooltip_ability_gush_duration"	"持续时间："
"DOTA_Tooltip_ability_gush_movement_speed"	"减少移速："
"DOTA_Tooltip_ability_heartstop"	"竭心光环"
"DOTA_Tooltip_ability_heartstop_Description"	"减少影响单位一定百分比的生命回复速度与攻击速度，并且持续减少目标可回复的生命值上限。"
"DOTA_Tooltip_ability_heartstop_attackspeed"	"攻击速度："
"DOTA_Tooltip_ability_heartstop_damage"	"%生命回复："
"DOTA_Tooltip_ability_heartstop_percent"	"%每秒减少回复生命上限："
"DOTA_Tooltip_ability_holy_armor"	"神圣护甲"
"DOTA_Tooltip_ability_holy_armor_Description"	"激活神圣护甲在短时间内免疫所有伤害。"
"DOTA_Tooltip_ability_holy_armor_duration"	"持续时间："
"DOTA_Tooltip_ability_holy_attack"	"神圣攻击"
"DOTA_Tooltip_ability_holy_attack_Description"	"攻击时有一定几率造成神圣伤害。"
"DOTA_Tooltip_ability_holy_attack_chance"	"几率："
"DOTA_Tooltip_ability_holy_attack_damage"	"伤害："
"DOTA_Tooltip_ability_howl"	"嗷呜"
"DOTA_Tooltip_ability_howl_Description"	"受到伤害时自动解除负面状态并且在短时间内不受真视效果影响。"
"DOTA_Tooltip_ability_howl_duration"	"持续时间："
"DOTA_Tooltip_ability_hunt"	"捕猎"
"DOTA_Tooltip_ability_hunt_Description"	"饿狼不断高速移动寻找时机对扑向目标，对目标造成两次攻击。第一次对目标造成减甲，第二次对目标造成暴击。高速移动使得闪避大幅上升。"
"DOTA_Tooltip_ability_hunt_alert_range"	"警戒范围："
"DOTA_Tooltip_ability_hunt_critical"	"%暴击伤害："
"DOTA_Tooltip_ability_hunt_evasion"	"闪避："
"DOTA_Tooltip_ability_hunt_reduce"	"减甲："
"DOTA_Tooltip_ability_jianjia"	"海蚀"
"DOTA_Tooltip_ability_jianjia_Description"	"攻击时减少目标护甲"
"DOTA_Tooltip_ability_jianjia_armor"	"护甲减少"
"DOTA_Tooltip_ability_jugg_attack"	"剑舞"
"DOTA_Tooltip_ability_jugg_attack_Description"	"大幅度提升攻击速度并有几率闪避攻击，攻击时有一定几率暴击并减少目标护甲持续5秒。"
"DOTA_Tooltip_ability_life_absorb"	"生命吸取"
"DOTA_Tooltip_ability_life_absorb_Description"	"每秒吸取目标一定生命值。"
"DOTA_Tooltip_ability_life_absorb_heal"	"治疗量"
"DOTA_Tooltip_ability_lightning_attack"	"闪电链"
"DOTA_Tooltip_ability_lightning_attack_Description"	"对敌人施放闪电链在敌人之间跳跃并造成伤害。"
"DOTA_Tooltip_ability_lightning_attack_damage"	"伤害："
"DOTA_Tooltip_ability_lightning_attack_jump_count"	"跳跃次数："
"DOTA_Tooltip_ability_lightning_attack_jump_delay"	"跳跃延迟："
"DOTA_Tooltip_ability_lightning_attack_radius"	"跳跃范围："
"DOTA_Tooltip_ability_lightning_crash"	"雷击"
"DOTA_Tooltip_ability_lightning_crash_Description"	"对敌人造成伤害时有一定几率对其降下雷击，被攻击时也有一定几率触发。被雷击的单位将在3秒内减少攻击命中率。"
"DOTA_Tooltip_ability_lightning_crash_att_rate"	"施加伤害触发几率："
"DOTA_Tooltip_ability_lightning_crash_damage"	"伤害："
"DOTA_Tooltip_ability_lightning_crash_def_rate"	"受到伤害触发几率："
"DOTA_Tooltip_ability_lightning_crash_miss"	"丢失几率："
"DOTA_Tooltip_ability_mana_burn"	"法力燃烧"
"DOTA_Tooltip_ability_mana_burn_Description"	"燃烧目标的魔法，根据燃烧的魔法造成相应的伤害。"
"DOTA_Tooltip_ability_mana_burn_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_mana_burn_mana"	"%燃烧魔法："
"DOTA_Tooltip_ability_mubei"	"重生"
"DOTA_Tooltip_ability_mubei_Description"	"死亡后原地召唤一个墓碑，墓碑能持续回复周围友军的生命效果可叠加，并且在持续一定时间后使得尸王原地复活。"
"DOTA_Tooltip_ability_mubei_cooldown"	"冷却时间："
"DOTA_Tooltip_ability_mubei_duration"	"重生时间："
"DOTA_Tooltip_ability_mubei_heal"	"%光环生命回复："
"DOTA_Tooltip_ability_mubei_radius"	"光环范围："
"DOTA_Tooltip_ability_poison_sting"	"毒液攻击"
"DOTA_Tooltip_ability_poison_sting_Description"	"攻击附带毒性伤害，可叠加。"
"DOTA_Tooltip_ability_poison_sting_damage"	"每秒伤害："
"DOTA_Tooltip_ability_poison_sting_duration"	"持续时间："
"DOTA_Tooltip_ability_queen_split"	"女王幻影"
"DOTA_Tooltip_ability_queen_split_Description"	"女王创建两个分身，分身拥有一半的血量，一段时间后如果分身没有死亡，女王将回复全部血量并增加伤害输出。"
"DOTA_Tooltip_ability_roshan_shock"	"惊吓"
"DOTA_Tooltip_ability_roshan_shock_Description"	"使周围的单位进入混乱状态，并大幅提高自身攻速。"
"DOTA_Tooltip_ability_roshan_shock_attackspeed"	"攻速提升："
"DOTA_Tooltip_ability_roshan_shock_duration"	"攻速持续时间："
"DOTA_Tooltip_ability_roshan_shock_movespeed"	"移速降低："
"DOTA_Tooltip_ability_roshan_shock_radius"	"影响范围："
"DOTA_Tooltip_ability_roshan_shock_shock_duration"	"惊吓持续时间："
"DOTA_Tooltip_ability_roshan_strike"	"猛击"
"DOTA_Tooltip_ability_roshan_strike_Description"	"锤击地面，击飞周围的单位。"
"DOTA_Tooltip_ability_roshan_strike_damage"	"伤害："
"DOTA_Tooltip_ability_roshan_strike_radius"	"伤害半径："
"DOTA_Tooltip_ability_roshan_stun"	"重击"
"DOTA_Tooltip_ability_roshan_stun_Description"	"攻击时有一定几率击晕目标并造成大量伤害。"
"DOTA_Tooltip_ability_roshan_stun_chance"	"晕眩几率："
"DOTA_Tooltip_ability_roshan_stun_cooldown"	"击晕冷却："
"DOTA_Tooltip_ability_roshan_stun_damage"	"伤害："
"DOTA_Tooltip_ability_roshan_stun_duration"	"晕眩时间："
"DOTA_Tooltip_ability_scream_of_pain"	"痛苦尖叫"
"DOTA_Tooltip_ability_scream_of_pain_Description"	"发出痛苦尖叫对周围的单位造成伤害并使其恐惧。"
"DOTA_Tooltip_ability_scream_of_pain_damage"	"伤害："
"DOTA_Tooltip_ability_scream_of_pain_radius"	"影响范围："
"DOTA_Tooltip_ability_scream_of_pain_shock_duration"	"恐惧持续："
"DOTA_Tooltip_ability_sea_erode"	"激流"
"DOTA_Tooltip_ability_sea_erode_Description"	"死亡时对周围的单位造成物理/魔法双重伤害。"
"DOTA_Tooltip_ability_shadow_strike"	"痛苦匕首"
"DOTA_Tooltip_ability_shadow_strike_Description"	"每次攻击使目标被缠绕与沉默0.2秒，并在之后0.8秒减少10000%%的攻击/移动速度。"
"DOTA_Tooltip_ability_shiwangchouxue"	"腐朽"
"DOTA_Tooltip_ability_shiwangchouxue_Description"	"使周围的单位快速腐化，使影响单位损失最大生命一定百分比的生命，并且每个单位将回复自身最大生命值一定百分比的生命。"
"DOTA_Tooltip_ability_shiwangchouxue_damage"	"伤害百分比："
"DOTA_Tooltip_ability_shiwangchouxue_heal"	"治疗百分比："
"DOTA_Tooltip_ability_shiwangchouxue_radius"	"影响范围："
"DOTA_Tooltip_ability_shock_wave"	"震荡波"
"DOTA_Tooltip_ability_shock_wave_Description"	"向四周释放16道冲击波，造成大量伤害并击退目标。被震荡波击中的单位会爆发"
"DOTA_Tooltip_ability_slardar_crush"	"鱼人碎击"
"DOTA_Tooltip_ability_slardar_crush_Description"	"猛击地面，对附近地面单位造成伤害并眩晕。"
"DOTA_Tooltip_ability_slardar_crush_chance"	"重击几率："
"DOTA_Tooltip_ability_slardar_crush_damage"	"伤害："
"DOTA_Tooltip_ability_slardar_crush_duration"	"持续时间："
"DOTA_Tooltip_ability_slardar_crush_stats"	"全属性降低："
"DOTA_Tooltip_ability_slardar_run"	"冲刺"
"DOTA_Tooltip_ability_slardar_run_Description"	"鱼人拥有最高移动速度"
"DOTA_Tooltip_ability_slardar_run_damage"	"伤害："
"DOTA_Tooltip_ability_slardar_run_duration"	"持续时间："
"DOTA_Tooltip_ability_slardar_stun"	"重击"
"DOTA_Tooltip_ability_slardar_stun_Description"	"攻击时有一定几率造成重击，造成大量伤害并暂时减少目标所有属性。属性降低可叠加。"
"DOTA_Tooltip_ability_slardar_stun_chance"	"重击几率："
"DOTA_Tooltip_ability_slardar_stun_cooldown"	"重击冷却："
"DOTA_Tooltip_ability_slardar_stun_damage"	"伤害："
"DOTA_Tooltip_ability_slardar_stun_duration"	"持续时间："
"DOTA_Tooltip_ability_slardar_stun_stats"	"全属性降低："
"DOTA_Tooltip_ability_slience"	"沉默魔法"
"DOTA_Tooltip_ability_slience_Description"	"使范围内的敌方单位沉默"
"DOTA_Tooltip_ability_slience_duration"	"持续时间："
"DOTA_Tooltip_ability_slience_radius"	"影响范围："
"DOTA_Tooltip_ability_sm"	"sm"
"DOTA_Tooltip_ability_sm_Description"	"使得目标无法移动并沉默目标。"
"DOTA_Tooltip_ability_soul_hurt"	"魂之殇"
"DOTA_Tooltip_ability_soul_hurt_Description"	"痛苦之源将受到的伤害反馈给周围的单位，伤害反馈有0.2秒冷却"
"DOTA_Tooltip_ability_soul_hurt_rate"	"反馈率"
"DOTA_Tooltip_ability_soul_tremble"	"灵魂颤抖"
"DOTA_Tooltip_ability_soul_tremble_Description"	"减少目标的攻击力"
"DOTA_Tooltip_ability_soul_tremble_reduce"	"减少比例"
"DOTA_Tooltip_ability_soulsteal"	"死亡脉冲"
"DOTA_Tooltip_ability_soulsteal_Description"	"每秒向周围%radius%范围的单位释放死亡脉冲，当死亡脉冲伤害敌人时将回复自身一定百分比的生命。"
"DOTA_Tooltip_ability_storm_bolt"	"风暴之锤"
"DOTA_Tooltip_ability_storm_bolt_Description"	"释放风暴之锤晕眩目标，风暴之锤击中目标时会使施法者立即传送至目标位置。"
"DOTA_Tooltip_ability_storm_bolt_bolt_aoe"	"影响范围："
"DOTA_Tooltip_ability_storm_bolt_bolt_stun_duration"	"晕眩时间："
"DOTA_Tooltip_ability_tb_critical"	"暴击"
"DOTA_Tooltip_ability_tb_critical_Description"	"攻击时有一定几率造成暴击"
"DOTA_Tooltip_ability_tb_critical_chance"	"暴击率"
"DOTA_Tooltip_ability_tb_critical_critical"	"暴击倍数"
"DOTA_Tooltip_ability_thunder_cloud"	"雷霆暴雨"
"DOTA_Tooltip_ability_thunder_cloud_Description"	"召唤大面积的落雷攻击所有敌人。造成毁灭性伤害并晕眩目标。宙斯在施法期间无敌。"
"DOTA_Tooltip_ability_thunder_cloud_damage"	"伤害："
"DOTA_Tooltip_ability_thunder_cloud_duration"	"晕眩时间："
"DOTA_Tooltip_ability_thunder_wrath"	"雷神之怒"
"DOTA_Tooltip_ability_thunder_wrath_Description"	"召唤雷霆攻击所有敌人。造成大量伤害并减少大量攻击速度与移动速度。同时使所有冷却中的技能冷却时间增加%cooldown_increase%秒，没有使用的技能变成使用后状态。宙斯在引导技能时处于无敌状态"
"DOTA_Tooltip_ability_thunder_wrath_attackspeed"	"攻速降低："
"DOTA_Tooltip_ability_thunder_wrath_bonus_armor"	"减少护甲："
"DOTA_Tooltip_ability_thunder_wrath_bonus_attack_speed"	"攻击速度减少："
"DOTA_Tooltip_ability_thunder_wrath_bonus_move_speed"	"移动速度减少："
"DOTA_Tooltip_ability_thunder_wrath_damage"	"伤害："
"DOTA_Tooltip_ability_thunder_wrath_duration"	"持续时间："
"DOTA_Tooltip_ability_thunder_wrath_movespeed"	"移速降低："
"DOTA_Tooltip_ability_ultrasonic"	"超声波"
"DOTA_Tooltip_ability_ultrasonic_Description"	"制造超声波，使目标剧烈震荡，造成巨大的伤害并使目标所有未使用的技能cd增加8秒。每个被影响的技能造成目标生命上限20%%的伤害。"
"DOTA_Tooltip_ability_ultrasonic_damage"	"伤害："
"DOTA_Tooltip_ability_warcry"	"战哄"
"DOTA_Tooltip_ability_warcry_Description"	"提升周围友军的移动速度并增加护甲"
"DOTA_Tooltip_ability_warcry_radius"	"影响范围："
"DOTA_Tooltip_ability_warcry_warcry_armor"	"增加护甲："
"DOTA_Tooltip_ability_warcry_warcry_movespeed"	"%增加移速："
"DOTA_Tooltip_ability_water_blade"	"潮汐使者"
"DOTA_Tooltip_ability_water_blade_Description"	"使得攻击能溅射900范围的所有单位"
"DOTA_Tooltip_ability_water_blade_bonus_armor"	"减少护甲："
"DOTA_Tooltip_ability_water_blade_bonus_attack_speed"	"攻击速度："
"DOTA_Tooltip_ability_water_blade_bonus_move_speed"	"移动速度减少："
"DOTA_Tooltip_ability_water_blade_cleave_damage"	"%分裂伤害："
"DOTA_Tooltip_ability_water_blade_damage"	"伤害："
"DOTA_Tooltip_ability_water_ravage"	"海怒"
"DOTA_Tooltip_ability_water_ravage_Description"	"召唤大面积触手冲出地面,造成伤害和晕眩。"
"DOTA_Tooltip_ability_water_ravage_bonus_armor"	"减少护甲："
"DOTA_Tooltip_ability_water_ravage_bonus_attack_speed"	"攻击速度减少："
"DOTA_Tooltip_ability_water_ravage_bonus_move_speed"	"移动速度减少："
"DOTA_Tooltip_ability_water_ravage_damage"	"伤害："
"DOTA_Tooltip_ability_water_ravage_duration"	"晕眩时间："
"DOTA_Tooltip_ability_water_ravage_radius"	"影响范围："
"DOTA_Tooltip_ability_wave_30_1"	"生命窃取"
"DOTA_Tooltip_ability_wave_30_1_Description"	"每次攻击都能吸收目标一定百分比的生命"
"DOTA_Tooltip_ability_wave_30_1_percent"	"窃取百分比："
"DOTA_Tooltip_ability_wave_30_2"	"死亡渴望"
"DOTA_Tooltip_ability_wave_30_2_Description"	"每当生命值减少%trigger_pct%%%，提升一定攻击速度与移动速度。"
"DOTA_Tooltip_ability_wave_30_2_attackspeed"	"每层攻击速度："
"DOTA_Tooltip_ability_wave_30_2_movespeed"		"每层移动速度："
"DOTA_Tooltip_ability_wave_30_3"	"遗愿"
"DOTA_Tooltip_ability_wave_30_3_Description"	"死亡时对目标造成大量伤害。"
"DOTA_Tooltip_ability_wave_5_1"	"活水"
"DOTA_Tooltip_ability_wave_5_1_Description"	"死亡时减少周围%radius%范围敌方单位的攻击速度，并且将自身生命值平均分配给周围的友方单位。"
"DOTA_Tooltip_ability_wave_5_1_attackspeed"	"攻速减少："
"DOTA_Tooltip_ability_wave_5_2"	"泼水"
"DOTA_Tooltip_ability_wave_5_2_Description"	"攻击减少目标移动速度。"
"DOTA_Tooltip_ability_wave_5_2_movespeed"	"%移速减少："
"DOTA_Tooltip_ability_wave_7_1"	"闪电"
"DOTA_Tooltip_ability_wave_7_1_Description"	"对敌人施放闪电造成伤害"
"DOTA_Tooltip_ability_wolf_critical"	"恶狼撕咬"
"DOTA_Tooltip_ability_wolf_critical_Description"	"恶狼攻击时有一定几率造成暴击"
"DOTA_Tooltip_ability_wolf_critical_chance"	"暴击率"
"DOTA_Tooltip_ability_wolf_critical_critical"	"暴击倍数"
"DOTA_Tooltip_ability_wolf_invisible"	"幽灵狼"
"DOTA_Tooltip_ability_wolf_invisible_Description"	"幽灵一般不可见"
"DOTA_Tooltip_ability_wolf_wound"	"撕裂"
"DOTA_Tooltip_ability_wolf_wound_Description"	"恶狼的攻击会撕裂伤口，从而叠加大量的伤害"
"DOTA_Tooltip_ability_wolf_wound_damage_per_stack"	"叠加伤害"
"DOTA_Tooltip_ability_xiaolan"	"魔力损毁"
"DOTA_Tooltip_ability_xiaolan_Description"	"每次攻击都能燃烧目标一定量的魔法"
"DOTA_Tooltip_ability_xiaolan_mana"	"魔力损毁量"
"DOTA_Tooltip_ability_xixue"	"吸血"
"DOTA_Tooltip_ability_xixue_Description"	"攻击吸收伤害量一定百分比的生命"
"DOTA_Tooltip_ability_xixue_lifesteal"	"生命吸取"
"DOTA_Tooltip_modifier_angry_water_debuff"	"水怒"
"DOTA_Tooltip_modifier_angry_water_debuff_Description"	"该单位减少了护甲、攻速与移速"
