"npc_dota_hero_oracle"	"神谕者"
"DOTA_Tooltip_ability_oracle_1_Lore"	"一支蜡烛的微光在挂满镜子的厅堂中异常耀眼，无独有偶，破碎的宇宙之壁可以将预言的微光变成炫目的火炬。"

"DOTA_Tooltip_ability_oracle_2"	"窥视未来"
"DOTA_Tooltip_ability_oracle_2_Description"	"神谕者透过星体天球窥视未来，暂时提升智力，持续时间内使用的技能伤害提升一定等级，并且减少冷却时间。<br></br>-----------------------------------------------<br></br>基础技能提升等级：技能等级<br></br>终极技能提升等级：技能等级 / 4<br></br>冷却减少：20%% + 1%% * 技能等级<br></br>智力提升：5 * 技能等级<br></br>持续时间：%duration%<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_oracle_2_Lore"	"事情将朝着两个方向发展"

"DOTA_Tooltip_ability_oracle_3"	"命运敕令"
"DOTA_Tooltip_ability_oracle_3_Description"	"使用命运敕令强化一个友军目标，提升其移速。强化咒语中的符文在目标受到伤害时自动触发，抵挡一定次数的伤害并在短暂时间内免疫任何伤害。免疫伤害期间不消耗次数。抵挡时与免疫期间对伤害来源造成伤害。<br></br>-----------------------------------------------<br></br>符文基础伤害：50 * 技能等级<br></br>符文属性伤害：3 * 智力 * 技能等级<br></br>抵挡次数：6 + 技能等级 / 4<br></br>免疫持续：%block_duration%<br></br>额外移速：%movespeed%%%<br></br>持续时间：%duration%<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_oracle_3_Lore"	"无法逾越的预言四处回响：神选之友将暂时不受疼痛的折磨。但是折磨还有很多种……"

"DOTA_Tooltip_ability_oracle_4"	"恒星陨落"
"DOTA_Tooltip_ability_oracle_4_Description"	"向大范围的单位施加重压，造成伤害与晕眩，之后将影响单位吸入中心禁锢与另一个维度。神谕者的技能依然能够作用于禁锢中的单位且伤害受到%bonus_damage%%%加成。<br></br>-----------------------------------------------<br></br>属性伤害：80 * 智力 * 技能等级<br></br>伤害范围：%radius%<br></br>禁锢持续时间：%imprison_duration%<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_oracle_4_Lore"	"当恒星陨落之时，灾难性的能量被释放出来，甚至在其他的空间也能感受到这股能量的回响。"

"DOTA_Tooltip_modifier_oracle_buff"	""
"DOTA_Tooltip_modifier_oracle_buff_Description"	""
"DOTA_Tooltip_modifier_oracle_0_buff"	"死亡预言"
"DOTA_Tooltip_modifier_oracle_0_buff_Description"	"该单位有一次复活机会"
"DOTA_Tooltip_modifier_oracle_3_root"	"命运敕令缠绕"
"DOTA_Tooltip_modifier_oracle_3_root_Description"	"该单位无法移动"
"DOTA_Tooltip_modifier_oracle_2"	"窥视未来"
"DOTA_Tooltip_modifier_oracle_2_Description"	"该单位暂时提升了智力"
"DOTA_Tooltip_modifier_oracle_3_block"	"命运敕令免疫"
"DOTA_Tooltip_modifier_oracle_3_block_Description"	"该单位免疫所有伤害"
"DOTA_Tooltip_modifier_oracle_3"	"命运敕令"
"DOTA_Tooltip_modifier_oracle_3_Description"	"该单位提升了移速"
"DOTA_Tooltip_ability_oracle_1_Note0"	"该技能冷却时间不受减少冷却效果影响"
"DOTA_Tooltip_ability_oracle_2_Note0"	"减少冷却效果可作用于涤罪之焰"
"DOTA_Tooltip_ability_oracle_2_Note1"	"该技能冷却时间不受减少冷却效果影响"
"DOTA_Tooltip_modifier_oracle_2_init"	""
"DOTA_Tooltip_modifier_oracle_2_init_Description"	""

"DOTA_Tooltip_ability_item_npc_dota_hero_oracle"	"星体天球"
"DOTA_Tooltip_ability_item_npc_dota_hero_oracle_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：死亡预言</h1>可以对友军释放，持续时间内死亡会立即重生。\n<h1>二转：命运敕令</h1>受到反击的单位会被缠绕%duration%秒。\n<h1>三转：窥视未来</h1>额外提升%bonus_intellect%%%的智力。\n<h1>四转：涤罪之焰</h1>每%interval%秒自动对周围的单位释放一次涤罪之焰。"
"DOTA_Tooltip_ability_item_npc_dota_hero_oracle_Lore"	"星体天球充沛的力量让四周充斥着静电爆裂声，而生能射向八方，使敌人暂时魂魄出窍。"
