"npc_dota_hero_templar_assassin"	"天启者"
"DOTA_Tooltip_modifier_templar_assassin_1_debuff"				"散华"
"DOTA_Tooltip_modifier_templar_assassin_1_debuff_Description"	"缓慢恢复各项属性"

"DOTA_Tooltip_ability_templar_assassin_2"					"神引"
"DOTA_Tooltip_ability_templar_assassin_2_Description"		"对点施法时会快速移至目标位置，对目标施法时会将目标牵引向自身前方，期间对碰撞的单位造成伤害。施法后将提升移动速度。当对处于散华的灵魂冲散状态下的敌人施法时，会立即回复目标被冲散的灵魂，但会根据该状态的剩余持续时间造成等量的晕眩。"
"DOTA_Tooltip_ability_templar_assassin_2_Lore"				"这种神秘的力量能轻易的戏耍敌人"
"DOTA_Tooltip_ability_templar_assassin_2_Note0"				"移动过程中可以闪避飞行中的攻击和技能弹道并且免疫魔法"
"DOTA_Tooltip_ability_templar_assassin_2_base_damage"		"每级基础伤害："
"DOTA_Tooltip_ability_templar_assassin_2_damage"			"每级敏捷伤害："
"DOTA_Tooltip_ability_templar_assassin_2_radius"			"影响范围："
"DOTA_Tooltip_ability_templar_assassin_2_distance"			"最大距离："
"DOTA_Tooltip_ability_templar_assassin_2_movespeed"			"%移速提升："
"DOTA_Tooltip_ability_templar_assassin_2_duration"			"持续时间："
"DOTA_Tooltip_ability_templar_assassin_2_aghanim_description"	"每次释放神引有%scepter_refresh_chance%%%几率刷新神引充能。"
"DOTA_Tooltip_modifier_templar_assassin_2_buff"				"神引"
"DOTA_Tooltip_modifier_templar_assassin_2_buff_Description"	"该单位增加%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%移动速度"
"DOTA_Tooltip_modifier_templar_assassin_2_debuff"				"神引"
"DOTA_Tooltip_modifier_templar_assassin_2_debuff_Description"	"该单位减少%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%移动速度。"

"DOTA_Tooltip_ability_templar_assassin_3"					"灵刃"
"DOTA_Tooltip_ability_templar_assassin_3_Description"		"天启者在攻击中附带灵刃，灵刃会刺穿目标对小范围的单位造成额外魔法伤害并削弱主目标魔法抗性，主动使用在周围持续生成灵气利刃，对周围的敌人造成伤害。"
"DOTA_Tooltip_ability_templar_assassin_3_Lore"				"灵气利刃能轻易的刺穿敌人的护甲伤及敌人的灵魂"
"DOTA_Tooltip_ability_templar_assassin_3_Note0"				"持续时间内进入范围内的单位都会受到影响"
"DOTA_Tooltip_ability_templar_assassin_3_base_damage"		"每级基础伤害："
"DOTA_Tooltip_ability_templar_assassin_3_damage"			"每级敏捷伤害："
"DOTA_Tooltip_ability_templar_assassin_3_resistance"		"魔法抗性减少："
"DOTA_Tooltip_ability_templar_assassin_3_duration"			"负面状态持续时间："
"DOTA_Tooltip_ability_templar_assassin_3_radius"			"灵刃伤害范围："
"DOTA_Tooltip_ability_templar_assassin_3_damage_tick"		"灵气利刃伤害间隔："
"DOTA_Tooltip_ability_templar_assassin_3_active_radius"		"灵气利刃伤害范围："
"DOTA_Tooltip_ability_templar_assassin_3_active_duration"	"灵气利刃持续时间："
"DOTA_Tooltip_ability_templar_assassin_3_delay"				"灵气利刃伤害延迟："
"DOTA_Tooltip_ability_templar_assassin_3_bonus_attack_range""灵刃额外攻击距离："
"DOTA_Tooltip_ability_templar_assassin_3_aghanim_description"	"灵气利刃会造成%scepter_stun_duration%秒晕眩。"
"DOTA_Tooltip_modifier_templar_assassin_3_debuff"				"灵刃"
"DOTA_Tooltip_modifier_templar_assassin_3_debuff_Description"	"该单位减少%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%的魔法抗性。"

"DOTA_Tooltip_ability_templar_assassin_4"					"天幕"
"DOTA_Tooltip_ability_templar_assassin_4_Description"		"在自身周围撑开天幕利刃，使得周围的所有单位每%damage_tick%秒受到一次伤害并减少移动速度与转身速率。"
"DOTA_Tooltip_ability_templar_assassin_4_base_damage"		"每级基础伤害："
"DOTA_Tooltip_ability_templar_assassin_4_damage"			"每级敏捷伤害："
"DOTA_Tooltip_ability_templar_assassin_4_damage_tick"		"伤害间隔："
"DOTA_Tooltip_ability_templar_assassin_4_radius"			"影响范围："
"DOTA_Tooltip_ability_templar_assassin_4_mana_cost_pct"		"%每秒魔法消耗："
"DOTA_Tooltip_ability_templar_assassin_4_duration"			"负面状态持续时间："
"DOTA_Tooltip_ability_templar_assassin_4_aghanim_description"	"天幕利刃减少转向速率翻倍并有%scepter_chance%%%的几率使敌人强制转向。"
"DOTA_Tooltip_modifier_templar_assassin_4_debuff"				"天幕"
"DOTA_Tooltip_modifier_templar_assassin_4_debuff_Description"	"该单位减少%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%移动速度与%dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%%转身速率。"

"DOTA_Tooltip_ability_item_npc_dota_hero_templar_assassin"	"日耀"
"DOTA_Tooltip_ability_item_npc_dota_hero_templar_assassin_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：灵刃</h1>灵气利刃会造成%scepter_stun_duration%秒晕眩。\n<h1>二转：魅隐之纱</h1>魅隐之纱破碎或者刷新时将对%scepter_radius%范围的单位造成%scepter_damage%倍敏捷的伤害。\n<h1>三转：神引</h1>每次释放神引有%scepter_refresh_chance%%%几率刷新神引充能。\n<h1>四转：天幕</h1>天幕利刃减少转向速率翻倍并有%scepter_chance%%%的几率使敌人强制转向。\n日耀石所打造的武器，能提供使用者源源不断的能量。"
