"npc_dota_hero_omniknight"	"机械师"
"DOTA_Tooltip_modifier_omniknight_0_Description"						"已增加%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%点力量。"
"DOTA_Tooltip_modifier_omniknight_1"									"雷霆一击能量点"
"DOTA_Tooltip_modifier_omniknight_3"									"举重"
"DOTA_Tooltip_modifier_omniknight_3_Description"						"每攻击一定次数会增加1点力量。"
"DOTA_Tooltip_modifier_omniknight_4"									"风暴屏障"
"DOTA_Tooltip_modifier_omniknight_4_Description"						"在周身制造极限的高压，增加雷霆动力的输出频率。"
"DOTA_Tooltip_modifier_omniknight_4_debuff"								"麻痹"
"DOTA_Tooltip_modifier_omniknight_4_debuff_Description"					"该单位减少了%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%攻击速度与%dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%点移动速度。"
"DOTA_Tooltip_ability_item_npc_dota_hero_omniknight"					"能量齿轮"
"DOTA_Tooltip_ability_item_npc_dota_hero_omniknight_Description"		"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：雷霆一击</h1>雷霆一击能量点提升至%scepter_charges%\n<h1>二转：雷霆动力</h1>使天罚作用于%scepter_radius%范围内的敌方单位\n<h1>三转：悬浮装置</h1>使得治疗装置能够移动并且每%scepter_interval%秒对范围内的随机%scepter_count%个敌方单位施放闪电链造成%scepter_damage%倍力量伤害。\n<h1>四转：风暴屏障</h1>每次麻痹造成一次%scepter_damage%倍力量伤害。\n作为一个机械师，没有什么比齿轮更有用的了"
"DOTA_Tooltip_ability_item_npc_dota_hero_omniknight_Lore"				"每次修理装置时总会多出一个齿轮没有装上。"
