"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_modifier_demon_chains_1_buff_Description"	"短时间被提升攻速"
		"DOTA_Tooltip_ability_demon_chains_1_duration"	"狂乱持续："
		"DOTA_Tooltip_ability_demon_chains_1_chance"	"%狂乱触发几率："
		"DOTA_Tooltip_modifier_reborn"							"转生"
		"DOTA_Tooltip_modifier_reborn_Description"				"已转生%dMODIFIER_PROPERTY_TOOLTIP%次。"
		
		
		"DOTA_Tooltip_ability_courier_blink"	"草泥马无处不在"
		"DOTA_Tooltip_ability_courier_bag"	"草泥马背包切换"
		"DOTA_Tooltip_ability_courier_bag_Description"	"切换背包"
		"DOTA_Tooltip_ability_courier_auto_potion"	"草泥马自动吃药"
		"DOTA_Tooltip_ability_courier_auto_potion_Description"	"自动喝药"
		"DOTA_Tooltip_ability_courier_teleport"	"草泥马召唤"
		"DOTA_Tooltip_ability_courier_teleport_Description"	"召唤你的英雄到任意位置"
		"DOTA_Tooltip_ability_courier_swap"	"草泥马物品交换"
		"DOTA_Tooltip_ability_courier_swap_Description"	"交换英雄与草泥马的第一格物品"
		
		"DOTA_Tooltip_ability_boss_clear"	"神光"
		"DOTA_Tooltip_ability_boss_clear_Description"	"每%interval%秒自动清理一次debuff并提供%duration%秒的晕眩抵抗。"
		"DOTA_Tooltip_ability_boss_untouchable"	"不可侵犯"
		"DOTA_Tooltip_ability_boss_blink"	"星界之门"
		"DOTA_Tooltip_ability_boss_blink_Description"	"当处于无法移动的地形时，将开启一道传送门进行传送。"

		"npc_dota_hero_antimage"												"Demon Hunter"
		
		"DOTA_Tooltip_ability_demon_hunter"										"Demon Hunter"
		"DOTA_Tooltip_ability_demon_hunter_Description"							"The demon hunter is good at capturing the soul of the enemy, and every soul will raise 1 points of all attributes, the upper limit of 50. Active use will capture the soul of the sacrifice, to enhance the effectiveness of other skills, sacrifice 100 souls will get the full property of 10 points, the sacrifice lasts for 10 seconds"
		"DOTA_Tooltip_ability_demon_hunter_Lore"								"Grasp the source of the power of the devil"
		"DOTA_Tooltip_modifier_demon_hunter_buff"								"Demon Hunter"
		"DOTA_Tooltip_modifier_demon_hunter_buff_Description"					"Each demon soul can ascend to the 1 point full attribute."
		"DOTA_Tooltip_modifier_demon_hunter_spell"								"Sacrifice"
		"DOTA_Tooltip_modifier_demon_hunter_spell_Description"					"Spirit of sacrifice"
		"DOTA_Tooltip_ability_soulblade"										"Desoul edge"
		"DOTA_Tooltip_ability_soulblade_Description"							"Damage to the front sector target. At the time of sacrifice, each soul will have an additional damage to the target's current life 1%%.<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>Base damage: 50 * skill level<br></br>Agility damage factor: 2 * skill level<br></br>Radius: 350<br></br><font color='#ffffff'>-----------------------------------------------</font>"
		"DOTA_Tooltip_ability_soulblade_Lore"									"Attacking the soul is the best way to deal with the devil."
		"DOTA_Tooltip_ability_soulring"											"Soul force field"
		"DOTA_Tooltip_ability_soulring_Description"								"Around the formation of a soul force field, the absorption of the surrounding units of life values. At the time of sacrifice, each soul will raise the 2%%'s damage. Double radius when use&nbsp;Metamorphosis.<br></br>-----------------------------------------------<br></br>Damage per sec: 1 + 0.5 * agi * skill level<br></br>Base Damage : 10 *&nbsp;skill level<br></br>Absorb rate: 0.01 * skill level<br></br>Radius：400<br></br>-----------------------------------------------"
		"DOTA_Tooltip_ability_soulring_Lore"									"Soul sucking"
		"DOTA_Tooltip_ability_magic_blade"										"Nullmagic Blade"
		"DOTA_Tooltip_ability_magic_blade_Description"							"Each attack draws on the target's attack power and causes additional magic damage.<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>Extra damage: agi * skill level<br></br>Attack absorb: 2 * skill level<br></br>Duration: 5<br></br><font color='#ffffff'>-----------------------------------------------</font>"
		"DOTA_Tooltip_ability_magic_blade_Lore"									"Steal life"
		
		"DOTA_Tooltip_ability_metamorphosis"									"Metamorphosis"
		"DOTA_Tooltip_ability_metamorphosis_Description"						"Turned into a huge demon, access to a range of powerful attack capabilities, while the image of the soul of the enemy attack the enemy, Soul attack will reply to the life of the Lord.In the state of sacrifice, each soul will have an additional 1%% damage.<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>Extra attack: 400 * skill level<br></br>Cleave radius: 300<br></br>Soul count: 20<br></br>Soul attack: 3 * agi * skill level<br></br>Heal rate: 10<br></br>Duration: 40<br></br><font color='#ffffff'>-----------------------------------------------</font>"
		"DOTA_Tooltip_ability_metamorphosis_Lore"								"Demon power"
		
		"DOTA_Tooltip_Ability_item_npc_dota_hero_antimage"	"Death Scythe"
		"DOTA_Tooltip_Ability_item_npc_dota_hero_antimage_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Raise the upper limit of 50 points for the soul collection\n<h1>Second Reincarnation</h1>The killing unit will get two times the soul\n<h1>Third  Reincarnation</h1>Each attack will repulse the target\n<h1>Fourth Reincarnation</h1>When Metamorphosis, it will be in a state of continuous sacrifice. The unit will immediately complete the sacrifice\nAs the standard of death, it can easily reap the enemy's soul."
		"DOTA_Tooltip_Ability_item_npc_dota_hero_antimage_Lore"	"more soul"

		"npc_dota_hero_crystal_maiden"									"Glacier Witch"
		
		"DOTA_Tooltip_ability_crystal_maiden_0"							"Frost Sigil"
		"DOTA_Tooltip_ability_crystal_maiden_0_Description"				"Use to make a target enter the ice state. The unit in the ice state can't move and attack without physical damage. Each time you cast any spell, a frost seal will be generated in place. The frost seal will reduce the surrounding temperature and make the glacier witch's spell more powerful. At the same time, the enemies who step into the frost seal will reduce their movement speed."
		"DOTA_Tooltip_ability_crystal_maiden_0_scepter_description_1"	"Enemies who step into frost seal will be frozen %scepter_freeze_duration% sec"
		"DOTA_Tooltip_ability_crystal_maiden_0_scepter_description_3"	"Frost seal increases magic immunity when casting on friendly troops"
		"DOTA_Tooltip_ability_crystal_maiden_0_mark_duration"			"Sigil Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_0_radius"					"Sigil Radius: "
		"DOTA_Tooltip_ability_crystal_maiden_0_movespeed_reduce_pct"	"%Sigil Movespeed Reduce: "
		"DOTA_Tooltip_ability_crystal_maiden_0_cold_radius"				"Sigil Cold Radius: "
		"DOTA_Tooltip_ability_crystal_maiden_0_duration"				"Frozen Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_0_Lore"					"Glacier witch is better at using her spell in low temperature"
		
		"DOTA_Tooltip_ability_crystal_maiden_1"							"Chilliness Burst"
		"DOTA_Tooltip_ability_crystal_maiden_1_Description"				"Release cold air to the surrounding, causing damage and temporary freezing effect to the impacted target. The target will receive deceleration effect after unfreezing."
		"DOTA_Tooltip_ability_crystal_maiden_1_base_damage"				"Base Damage: "
		"DOTA_Tooltip_ability_crystal_maiden_1_damage"					"Int Damage Factor: "
		"DOTA_Tooltip_ability_crystal_maiden_1_frozen_duration"			"Frozen Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_1_duration"				"Movespeed Reduce Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_1_movespeed"				"Movespeed Reduce: "
		"DOTA_Tooltip_ability_crystal_maiden_1_radius"					"Radius: "
		"DOTA_Tooltip_ability_crystal_maiden_1_damage_per_cold"			"%Damage Deepen Per Frost Sigil Stack: "
		"DOTA_Tooltip_ability_crystal_maiden_1_radius_per_cold"			"Radius Per Frost Sigil Stack: "
		"DOTA_Tooltip_ability_crystal_maiden_1_frozen_per_cold"			"Frozen Per Frost Sigil Stack: "
		
		"DOTA_Tooltip_ability_crystal_maiden_2"							"Snow Storm"
		"DOTA_Tooltip_ability_crystal_maiden_2_Description"				"Summon a blizzard at the target point. Bombard the ground continuously for a long time, causing damage and slowing down."
		"DOTA_Tooltip_ability_crystal_maiden_2_Note0"					"The decelerating effect is superimposed on each other and the duration is reset"
		"DOTA_Tooltip_ability_crystal_maiden_2_base_damage"				"Base Damage: "
		"DOTA_Tooltip_ability_crystal_maiden_2_damage"					"Int Damage Factor: "
		"DOTA_Tooltip_ability_crystal_maiden_2_duration"				"Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_2_radius"					"Radius: "
		"DOTA_Tooltip_ability_crystal_maiden_2_movespeed_reduce"		"Movespeed Reduce Per Stack: "
		"DOTA_Tooltip_ability_crystal_maiden_2_interval"				"Interval: "
		"DOTA_Tooltip_ability_crystal_maiden_2_slow_duration"			"Slow Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_2_interval_per_cold"		"Interval Reduce Per Frost Sigil Stack: "
		"DOTA_Tooltip_ability_crystal_maiden_2_radius_per_cold"			"Radius Per Frost Sigil Stack: "
		
		"DOTA_Tooltip_ability_crystal_maiden_3"							"Frozen Aura"
		"DOTA_Tooltip_ability_crystal_maiden_3_Description"				"The cooldown of nearby allies is reduced. Have the chance not to use magic after the spell. Active use of the halo effect on the whole map and the effect of doubling。"
		"DOTA_Tooltip_ability_crystal_maiden_3_scepter_description_4"	"When releasing a skill, it generates a shield that can resist one damage and stack up to %scepter_max_count% layer"
		"DOTA_Tooltip_ability_crystal_maiden_3_cooldown_reduce"			"%Cooldown Reduce: "
		"DOTA_Tooltip_ability_crystal_maiden_3_mana_regen"				"Mana Regen: "
		"DOTA_Tooltip_ability_crystal_maiden_3_refresh_chance"			"%Refresh Chance: "
		"DOTA_Tooltip_ability_crystal_maiden_3_chance_per_cold"			"Refresh Chance Per Frost Sigil Stack: : "
		
		"DOTA_Tooltip_ability_crystal_maiden_4"							"Frost Boundary"
		"DOTA_Tooltip_ability_crystal_maiden_4_Description"				"Create a frost barrier around you, in which speed reaches its limit and becomes invisible. At the same time, apply the curse of cold winter to the units entering the border, take continuous damage and deepen the damage. Units that move less than %frozen_speed% in the enchantment will be frozen."
		"DOTA_Tooltip_ability_crystal_maiden_4_scepter_description_2"	"Make the frost barrier effective on friendly forces"
		"DOTA_Tooltip_ability_crystal_maiden_4_base_damage"				"Base Damage: "
		"DOTA_Tooltip_ability_crystal_maiden_4_damage"					"Int Damage Factor: "
		"DOTA_Tooltip_ability_crystal_maiden_4_radius"					"Radius: "
		"DOTA_Tooltip_ability_crystal_maiden_4_duration"				"Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_4_curse_duration"			"Curse Duration: "
		"DOTA_Tooltip_ability_crystal_maiden_4_duration_per_cold"		"Duration Per Frost Sigil Stack: "
		
		"DOTA_Tooltip_modifier_crystal_maiden_0_buff"					"Frozen"
		"DOTA_Tooltip_modifier_crystal_maiden_0_buff_Description"		"The unit is frozen"
		"DOTA_Tooltip_modifier_crystal_maiden_0_debuff"					"Frost Sigil"
		"DOTA_Tooltip_modifier_crystal_maiden_0_debuff_Description"		"The unit is decelerated"
		"DOTA_Tooltip_modifier_crystal_maiden_0_cold"					"Cold"
		"DOTA_Tooltip_modifier_crystal_maiden_0_cold_Description"		"The lower the temperature, the more powerful the Glacier Witch's skill"
		"DOTA_Tooltip_modifier_crystal_maiden_0_freeze"					"Frozen"
		"DOTA_Tooltip_modifier_crystal_maiden_0_freeze_Description"		"The unit is frozen"
		"DOTA_Tooltip_modifier_crystal_maiden_1_debuff"					"Chilliness Burst"
		"DOTA_Tooltip_modifier_crystal_maiden_1_debuff_Description"		"This unit reduces attack speed and movement speed"
		"DOTA_Tooltip_modifier_crystal_maiden_2_slow"					"Snow Storm"
		"DOTA_Tooltip_modifier_crystal_maiden_2_slow_Description"		"This unit reduces movement speed"
		"DOTA_Tooltip_modifier_crystal_maiden_3_buff"					"Frozen Aura"
		"DOTA_Tooltip_modifier_crystal_maiden_4_buff"					"Frost Boundary"
		"DOTA_Tooltip_modifier_crystal_maiden_4_buff_Description"		"The unit is invisible"
		"DOTA_Tooltip_modifier_crystal_maiden_4_debuff"					"Winter curse"
		"DOTA_Tooltip_modifier_crystal_maiden_4_debuff_Description"		"Deepen the hurt"
		
		"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden"				"Crescent Ornament"
		"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Attack has %chance%%% chance of freezing target for %duration% second.\n<h1>Second Reincarnation</h1>Frost Boundary effect friendly units\n<h1>Third  Reincarnation</h1>There is a %refresh_chance%%% chance to refresh the skill immediately when the skill is released.\n<h1>Fourth Reincarnation</h1>When releasing skills, produce a shield that can withstand a single injury.\nThe pendant from the deep blue glacier core can even freeze a pig to death."

		"DOTA_Tooltip_ability_drow_ranger_0_1_agi_damage"						"Agi Damage Factor: "
		"DOTA_Tooltip_ability_drow_ranger_0_2_agi_factor"						"敏捷攻击力系数："
		"DOTA_Tooltip_ability_drow_ranger_0_2_bonus_attack_range"				"额外攻击距离："
		"DOTA_Tooltip_ability_drow_ranger_1_1_duration"							"Duration: "
		"DOTA_Tooltip_modifier_drow_ranger_1_1_debuff"							"寒冰箭雨"
		"DOTA_Tooltip_modifier_drow_ranger_1_1_debuff_Description"				"移速被减缓。"
		"DOTA_Tooltip_ability_drow_ranger_1_2_duration"							"Duration: "
		"DOTA_Tooltip_ability_drow_ranger_1_2_count"							"额外箭矢："
		"DOTA_Tooltip_ability_drow_ranger_1_2_attack_factor"					"每级攻击力伤害系数："
		"DOTA_Tooltip_modifier_drow_ranger_1_2"									"炎阳箭雨"
		"DOTA_Tooltip_modifier_drow_ranger_1_2_Description"						"每次攻击附带额外箭矢。"
		"DOTA_Tooltip_ability_drow_ranger_3_1_base_damage"						"每级基础伤害："
		"DOTA_Tooltip_ability_drow_ranger_3_1_agi_damage"						"每级敏捷伤害系数："
		"DOTA_Tooltip_ability_drow_ranger_3_1_movespeed_reduce"					"%每层移速降低："
		"DOTA_Tooltip_ability_drow_ranger_3_1_reduce_duration"					"减速持续时间："
		"DOTA_Tooltip_ability_drow_ranger_3_1_require_count"					"寒心诅咒需求攻击次数："
		"DOTA_Tooltip_ability_drow_ranger_3_1_curse_duration"					"寒心诅咒持续时间："
		"DOTA_Tooltip_modifier_drow_ranger_3_1_slow"							"寒心箭矢"
		"DOTA_Tooltip_modifier_drow_ranger_3_1_slow_Description"				"移速被减缓。"
		"DOTA_Tooltip_modifier_drow_ranger_3_1_freeze"							"寒心诅咒"
		"DOTA_Tooltip_modifier_drow_ranger_3_1_freeze_Description"				"受到额外的物理伤害。"
		"DOTA_Tooltip_ability_drow_ranger_3_2_agi_damage"						"每级敏捷伤害系数："
		"DOTA_Tooltip_ability_drow_ranger_3_2_extra_agi_damage"					"每级爆发敏捷伤害系数："
		"DOTA_Tooltip_ability_drow_ranger_3_2_agi_percent"						"%额外敏捷百分比："
		"DOTA_Tooltip_ability_drow_ranger_3_2_debuff_duration"					"灼心箭矢持续时间："
		"DOTA_Tooltip_modifier_drow_ranger_3_2_stack"							"灼心箭矢"
		"DOTA_Tooltip_modifier_drow_ranger_3_2_stack_Description"				"受到一定次数的攻击会爆发大量的伤害。"
		"DOTA_Tooltip_modifier_drow_ranger_3_2_buff"							"灼心箭矢"
		"DOTA_Tooltip_modifier_drow_ranger_3_2_buff_Description"				"暂时提升敏捷。"
		"DOTA_Tooltip_ability_item_npc_dota_hero_drow_ranger"					"彼岸枝材"
		"DOTA_Tooltip_ability_item_npc_dota_hero_drow_ranger_Lore"				"彼岸枝材"
		"npc_dota_hero_drow_ranger"												"卓尔游侠"
		"DOTA_Tooltip_ability_drow_ranger_0_1"									"群星"
		"DOTA_Tooltip_ability_drow_ranger_0_1_Description"						"卓尔游侠根据战况调整她的战斗风格，无论处于什么情况都能游刃有余。攻击时有几率释放群星陨落造成范围伤害。"
		"DOTA_Tooltip_ability_drow_ranger_0_1_chance"							"%触发几率："
		"DOTA_Tooltip_ability_drow_ranger_0_1_radius"							"Radius: "
		"DOTA_Tooltip_ability_drow_ranger_0_2"									"旭日"
		"DOTA_Tooltip_ability_drow_ranger_0_2_Description"						"卓尔游侠根据战况调整她的战斗风格，无论处于什么情况都能游刃有余。额外增加卓尔游侠的攻击力。"
		"DOTA_Tooltip_ability_drow_ranger_1_1"									"寒冰箭雨"
		"DOTA_Tooltip_ability_drow_ranger_1_1_Description"						"攻在目标区域召唤一阵寒冰箭雨，对触碰的敌人造成伤害与减速效果，寒冰箭雨持续%duration%秒。攻击时有%chance%%%几率触发效果。被动触发有%cooldown%秒冷却时间。"
		"DOTA_Tooltip_ability_drow_ranger_1_1_base_damage"						"每级基础伤害："
		"DOTA_Tooltip_ability_drow_ranger_1_1_agility_damage"					"每级敏捷伤害系数："
		"DOTA_Tooltip_ability_drow_ranger_1_1_radius"							"Radius: "
		"DOTA_Tooltip_ability_drow_ranger_1_1_movespeed_reduce"					"%移速减少："
		"DOTA_Tooltip_ability_drow_ranger_1_1_reduce_duration"					"减速持续："
		"DOTA_Tooltip_ability_drow_ranger_1_2"									"炎阳箭雨"
		"DOTA_Tooltip_ability_drow_ranger_1_2_Description"						"攻击时召唤炎阳箭雨对目标集中射击，造成额外伤害。"
		"DOTA_Tooltip_ability_drow_ranger_3_1"									"寒心箭矢"
		"DOTA_Tooltip_ability_drow_ranger_3_1_Description"						"卓尔游侠的攻击能减缓敌人的移动速度，连续多次攻击后，他们将受到寒心诅咒的作用，寒心诅咒下的敌人无法行动并且卓尔游侠的攻击将造成额外伤害。"
		"DOTA_Tooltip_ability_drow_ranger_3_2"									"灼心箭矢"
		"DOTA_Tooltip_ability_drow_ranger_3_2_Description"						"卓尔游侠的攻击能造成额外伤害，连续多次攻击同一个目标后，卓尔游侠将释放一次灼心箭矢对敌人造成大量伤害并提升自身[%agility_percent%%%+技能等级%%]基础敏捷。"
		"DOTA_Tooltip_ability_drow_ranger_3_2_base_damage"						"每级基础伤害："
		"DOTA_Tooltip_ability_drow_ranger_3_2_require_count"					"爆发需求攻击次数："
		"DOTA_Tooltip_ability_drow_ranger_3_2_duration"							"额外敏捷持续时间："
		"DOTA_Tooltip_ability_item_npc_dota_hero_drow_ranger_Description"		"彼岸枝材"

		"npc_dota_hero_ember_spirit"	"Ember Spirit"
		"DOTA_Tooltip_ability_fire_spirit_0"									"Fire Trace"
		"DOTA_Tooltip_ability_fire_spirit_0_Description"						"Add 1 stack count marks on deal damage, at the end of the duration , apply stackcount * Agi damage. When the Fire Spirit deal damage with skills, each mark increase damage by 1 %%. Active use activating all marks <br></br>immediately."
		"DOTA_Tooltip_ability_fire_spirit_0_Lore"								"The flame will mark deeply engraved on enemy`s body."
		"DOTA_Tooltip_ability_fire_spirit_0_Note0"								"This skill cooldown no allow to reduce"
		"DOTA_Tooltip_ability_fire_spirit_1"									"Flame Raid"
		"DOTA_Tooltip_ability_fire_spirit_1_Description"						"Quick shuttle to the target position and attack target, the attack will cause additional damage. Randomly selected six units during the attack. If the unit has Fire Trace, also affect the target.<br></br>-----------------------------------------------<br></br>Attack Damage Coefficient:1 + 0.25 * skill level<br></br>Base Damage: 100 * skill level<br></br>Damage Interval: 0.1<br></br>-----------------------------------------------"
		"DOTA_Tooltip_ability_fire_spirit_1_Lore"								"Fiery aggression"
		"DOTA_Tooltip_ability_fire_spirit_2"									"Tear Slash"
